2 2 -18.1854990795659
2 4 -18.1854990795659
2 6 -18.1854990795659
2 8 -18.1854990795659
2 10 -18.1854990795659
2 12 -18.1854990795659
2 14 -18.1854990795659
4 2 -41.2138145473926
4 4 -41.2138145473926
4 6 -41.2138145473926
4 8 -41.2138145473926
4 10 -41.2138145473926
4 12 -41.2138145473926
4 14 -41.2138145473926
6 2 -64.2421300152188
6 4 -64.2421300152188
6 6 -64.2421300152188
6 8 -64.2421300152188
6 10 -64.2421300152188
6 12 -64.2421300152188
6 14 -64.2421300152188
8 2 -87.2704454830453
8 4 -87.2704454830453
8 6 -87.2704454830453
10 6 -110.298760950872
12 6 -133.327076418698
14 6 -156.355391886525
2 1 -18.3385525646419
4 1 -41.3668680324684
6 1 -64.3951835002946
8 1 -87.4234989681212
10 1 -110.451814435948
12 1 -133.480129903774
14 1 -156.508445371602
14 2 -156.355391886525
1 0 -11.5141577339135
2 0 -23.0283154678269
4 0 -46.0566309356533
6 0 -69.0849464034795
8 0 -92.113261871306
8 0 -92.113261871306
12 0 -138.16989280696
14 0 -161.198208274787
12 2 -133.327076418698
100 2 -1146.57295700313
100 4 -1146.57295700313
100 1 -1146.72601048821
