# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.1	501.57206	-677.14157	32.351805	16053.723	0.075489468	0.11165122
5.2	514.97933	-678.00635	33.216585	16748.028	0.17188464	0.37534884
5.3	501.18011	-677.11581	32.326524	16205.987	0.20582871	0.6925778
5.4	506.67197	-677.47048	32.680754	15919.219	0.22441485	0.98673018
5.5	512.31239	-677.83445	33.044566	16981.039	0.23719347	1.2555059
5.6	500.18805	-677.05213	32.262536	16709.845	0.25641798	1.4651501
5.7	503.4541	-677.2628	32.473198	15850.924	0.27718637	1.6284012
5.8	523.91767	-678.58302	33.793115	16440.605	0.26711876	1.8034718
5.9	512.9274	-677.8742	33.084234	16350.255	0.26160879	1.9774083
6.0	498.19041	-676.92351	32.133686	16047.952	0.25854791	2.150677
6.1	502.1212	-677.17706	32.387225	16141.604	0.25194088	2.3427301
6.2	490.78952	-676.44598	31.656323	16176.928	0.24947752	2.5286678
6.3	511.62742	-677.79037	33.000385	16179.144	0.25508545	2.6626899
6.4	503.08504	-677.23892	32.449394	16820.019	0.27530523	2.8165485
6.5	522.72554	-678.5066	33.716222	16614.331	0.27398666	2.972561
6.6	497.89642	-676.90465	32.114724	15998.24	0.25582475	3.1184078
6.7	495.87431	-676.77406	31.984296	15730.047	0.26816602	3.2188393
6.8	544.20781	-679.89206	35.101846	16226.27	0.27537098	3.3578539
6.9	476.68418	-675.53592	30.746517	17026.282	0.29507267	3.5597819
7.0	495.09404	-676.72379	31.933968	16356.735	0.29640867	3.7887704
7.1	490.03735	-676.39775	31.607807	17074.935	0.28737429	3.996383
7.2	520.42515	-678.35832	33.567845	16595.41	0.28131349	4.1379659
7.3	489.21133	-676.34425	31.554528	16322.899	0.28313138	4.3177582
7.4	503.86994	-677.29034	32.500021	16839.128	0.27892929	4.4976368
7.5	513.7731	-677.92904	33.138782	17052.587	0.28243697	4.6453073
7.6	490.62385	-676.43531	31.645637	16705.095	0.2910602	4.7616461
7.7	498.09629	-676.91754	32.127615	16210.976	0.28739573	4.8960933
7.8	495.878	-676.77434	31.984534	16617.289	0.29222854	5.0159887
7.9	506.32793	-677.4485	32.658562	17393.411	0.29350159	5.1407593
8.0	514.51003	-677.97646	33.186315	17078.271	0.29346146	5.3048682
8.1	492.61757	-676.56381	31.774234	16269.776	0.30809964	5.4922433
8.2	506.93895	-677.48745	32.697974	16272.623	0.31659707	5.6919992
8.3	491.9542	-676.52117	31.731446	17258.605	0.31994282	5.8757206
8.4	523.52834	-678.55806	33.768003	16914.133	0.32492309	6.0398626
8.5	527.98093	-678.84518	34.055199	16386.412	0.32903778	6.207161
8.6	502.98812	-677.23312	32.443143	16837.928	0.33708167	6.4035424
8.7	534.30682	-679.25388	34.463224	16302.189	0.3454199	6.5503175
8.8	501.39558	-677.13064	32.340422	17649.461	0.36572191	6.6726779
8.9	513.56654	-677.91584	33.125459	17204.852	0.36288361	6.6753335
9.0	508.0858	-677.56218	32.771947	16356.148	0.35166172	6.6768242
9.1	509.91682	-677.67988	32.890049	16340.683	0.35645596	6.7846937
9.2	501.53517	-677.139	32.349426	16448.432	0.36825266	7.0287731
9.3	529.6113	-678.9505	34.160359	16451.332	0.35957375	7.3123527
9.4	470.38309	-675.12963	30.340091	17039.751	0.37403772	7.5468089
9.5	503.14883	-677.2433	32.453508	16408.898	0.36401392	7.7190761
9.6	521.44477	-678.42371	33.633611	16818.666	0.34119505	7.8594841
9.7	505.43272	-677.39064	32.600821	16228.255	0.33805588	8.0326388
9.8	502.31981	-677.18966	32.400036	16499.128	0.34996011	8.26666
9.9	505.91691	-677.42198	32.632051	16648.91	0.35825484	8.4722809
10.0	491.16721	-676.47053	31.680684	16358.315	0.36289289	8.6261953
10.1	524.61618	-678.62837	33.83817	16262.86	0.36503589	8.7498712
10.2	518.52023	-678.23532	33.444976	16762.708	0.37841322	8.8410239
10.3	510.52799	-677.71972	32.92947	16615.718	0.39002717	8.9450543
10.4	526.42239	-678.74482	33.954672	16979.834	0.39378286	9.0638839
10.5	509.40655	-677.64674	32.857136	16943.228	0.39684678	9.1797843
10.6	486.12329	-676.14493	31.355347	16886.997	0.39310214	9.26827
10.7	502.22488	-677.18378	32.393913	17436.76	0.37847982	9.4321448
10.8	516.45546	-678.10178	33.311796	16867.498	0.37135493	9.5989339
10.9	510.05804	-677.68932	32.899158	16235.495	0.38335962	9.7627348
11.0	530.40827	-679.00254	34.211764	16705.756	0.38592793	9.8368558
