3.95 -10.9009556288345
3.96 -10.9956075009912
3.97 -11.0808960911737
3.98 -11.1572563299651
3.99 -11.2251048302297
4 -11.2848406587382
4.01 -11.3368460743145
4.02 -11.3814872340179
4.03 -11.4191148687981
4.04 -11.4500649299987
4.04 -11.4500649299987
4.06 -11.493205924349
4.07 -11.5060002982672
4.08 -11.5133250891653
4.09 -11.4931348365036
4.1 -11.4906459595098
4.11 -11.4834606105301
4.12 -11.4718167903126
4.13 -11.4559424212664
4.14 -11.4360557652438
4.15 -11.4123658236335
4.16 -11.3850727205425
4.17 -11.3543680698066
4.18 -11.3204353265374
4.19 -11.2834501238794
4.2 -11.2435805956225
4.21 -11.2009876852839
4.22 -11.1558254422466
4.23 -11.1082413055157
4.24 -11.0583763756261
