# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.1	10.835978	-1212.2255	1.2087696	474.91007	0.0016605903	0.0022885483
5.2	9.7247691	-1212.1302	1.0848126	486.37974	0.0044932151	0.0085480499
5.3	9.8297982	-1212.1719	1.0965288	496.79758	0.0051567304	0.016562962
5.4	8.9611443	-1212.0838	0.99962914	519.90983	0.0052334261	0.023513772
5.5	9.5160096	-1212.112	1.0615252	516.34701	0.0051184352	0.027313779
5.6	10.434363	-1212.1864	1.1639689	495.90741	0.0045039738	0.027440236
5.7	9.7406935	-1212.106	1.086589	493.50438	0.0041760705	0.02453808
5.8	9.8382604	-1212.1137	1.0974728	503.79185	0.004074992	0.019562426
5.9	10.237072	-1212.1458	1.1419608	526.37042	0.0039408429	0.013724829
6.0	9.1734661	-1212.0103	1.023314	531.25716	0.0044056654	0.0085763146
6.1	10.741614	-1212.1506	1.1982432	501.02045	0.0045928722	0.0056314735
6.2	10.46891	-1212.1069	1.1678227	495.98097	0.0041513393	0.0059335111
6.3	10.080058	-1212.0831	1.1244456	501.79051	0.0035505718	0.0093693167
6.4	9.9715235	-1212.0965	1.1123385	516.27023	0.0035424386	0.014235824
6.5	9.3820172	-1212.0363	1.0465781	525.30594	0.0035448026	0.018630814
6.6	10.359536	-1212.1348	1.1556218	504.2012	0.0030995926	0.02151131
6.7	10.65077	-1212.1741	1.1881095	500.88228	0.0034208587	0.022395463
6.8	9.6488338	-1212.0834	1.0763419	494.90283	0.0042554866	0.021621947
6.9	10.355822	-1212.1733	1.1552076	487.40436	0.0044867772	0.019608743
7.0	9.037446	-1212.0277	1.0081407	522.01528	0.0049294731	0.016507283
7.1	9.8257984	-1212.0884	1.0960826	514.31788	0.005098704	0.012997883
7.2	10.522079	-1212.1434	1.1737537	507.52091	0.0047302156	0.010261794
7.3	10.402264	-1212.1331	1.1603882	508.70266	0.0039035567	0.00950124
7.4	9.7263515	-1212.0816	1.0849891	505.66665	0.0037847725	0.010981643
7.5	10.273022	-1212.1575	1.1459711	503.51451	0.0039070109	0.013853223
7.6	9.3272012	-1212.0688	1.0404633	517.22558	0.0039205649	0.016913811
7.7	9.7911483	-1212.1146	1.0922173	516.01896	0.0038798449	0.019010308
7.8	9.9507159	-1212.0971	1.1100173	512.5585	0.0041425305	0.019652597
7.9	10.444978	-1212.105	1.1651531	504.63129	0.0041310314	0.019006543
8.0	10.503861	-1212.1033	1.1717215	508.01978	0.0040467624	0.017574056
8.1	9.9368057	-1212.051	1.1084656	518.20724	0.0039128861	0.015912937
8.2	10.251863	-1212.0958	1.1436107	509.95303	0.0032933	0.014428191
8.3	10.411824	-1212.1318	1.1614547	508.81359	0.0032257787	0.013459436
8.4	9.2721185	-1212.0289	1.0343188	508.43184	0.0041967312	0.013112247
8.5	10.344219	-1212.148	1.1539132	495.21141	0.004450797	0.013296194
8.6	9.6258382	-1212.0678	1.0737767	506.01954	0.0044878492	0.013985464
8.7	10.508264	-1212.1608	1.1722127	502.97461	0.0045341716	0.015080897
8.8	9.9651215	-1212.1177	1.1116243	507.77051	0.0043608037	0.016363431
8.9	9.4270448	-1212.0977	1.051601	496.57264	0.0036011415	0.017264797
9.0	9.5034854	-1212.1413	1.0601281	491.22053	0.003294381	0.017193988
9.1	9.9844364	-1212.204	1.1137789	482.37931	0.0033866353	0.016494112
9.2	9.3389067	-1212.1342	1.0417691	483.24222	0.0037571436	0.015847074
9.3	10.032424	-1212.1822	1.119132	483.44746	0.0041448971	0.015504045
9.4	9.8380554	-1212.1137	1.0974499	503.99486	0.0045490602	0.01559698
9.5	9.7827339	-1212.0784	1.0912787	523.88966	0.0045159265	0.015771171
9.6	9.8600041	-1212.0677	1.0998983	521.69952	0.0043917427	0.015494552
9.7	10.256848	-1212.0982	1.1441669	512.26158	0.0041833387	0.014994853
9.8	10.566901	-1212.1368	1.1787537	497.79681	0.003634409	0.015097566
9.9	10.005285	-1212.1048	1.1161046	494.24914	0.0034799308	0.015998923
10.0	9.6309764	-1212.09	1.0743499	509.92473	0.0039012837	0.017023492
10.1	9.4726037	-1212.0749	1.0566832	520.40783	0.0043220158	0.017449292
10.2	9.8382253	-1212.0931	1.0974688	502.46054	0.0045742762	0.017047366
10.3	10.597574	-1212.1528	1.1821753	488.83233	0.0044887128	0.016325994
10.4	10.472883	-1212.1468	1.1682659	497.65911	0.0039501666	0.01584797
10.5	10.101152	-1212.1288	1.1267987	503.87753	0.0034409095	0.015837623
10.6	9.525946	-1212.0751	1.0626336	511.17213	0.0036616003	0.016102837
10.7	9.8368514	-1212.0999	1.0973156	513.04304	0.0040142128	0.016097057
10.8	9.6158913	-1212.0571	1.0726671	529.9214	0.0042464909	0.015610196
10.9	9.9258548	-1212.0634	1.107244	523.81851	0.0044204874	0.014979123
11.0	10.87243	-1212.1495	1.212836	493.44558	0.0044298077	0.014722516
