# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.049	1009.8843	-41.862439	4.0466715	21312.4	0.04498807	0.053245777
5.148	1011.5166	-41.869046	4.0532123	19451.892	0.21730474	0.49123078
5.247	947.6415	-41.613116	3.7972606	19641.887	0.27828321	1.1943029
5.346	1056.9762	-42.051697	4.2353718	21508.535	0.34937319	1.668536
5.445	990.23599	-41.784206	3.9679395	26225.275	0.40535437	1.9432565
5.544	768.77107	-40.896637	3.0805152	25329.507	0.43134747	1.9774959
5.643	997.64849	-41.813829	3.9976419	19397.306	0.34249158	2.0685326
5.742	966.95331	-41.690543	3.8746443	21850.056	0.31981594	2.1744497
5.841	1030.7186	-41.946401	4.1301558	24062.303	0.30027797	2.3449543
5.94	1074.8999	-42.123156	4.3071933	22905.316	0.25187675	2.4538026
6.039	911.67293	-41.468973	3.6531322	21271.245	0.29572432	2.9349826
6.138	903.38932	-41.435527	3.6199393	19369.868	0.25773461	3.4933009
6.237	1176.3172	-42.529768	4.7135789	24222.969	0.24280915	4.1882039
6.336	1108.2606	-42.256888	4.4408718	20860.556	0.34727097	4.8270933
6.435	1036.4841	-41.969084	4.1532586	17540.179	0.38323774	5.6247812
6.534	884.62952	-41.360873	3.5447675	23117.59	0.43053471	5.990693
6.633	989.52172	-41.780996	3.9650774	21496.669	0.4358033	5.8981956
6.732	1046.0223	-42.007063	4.1914787	20702.651	0.3623843	6.1673323
6.831	1094.495	-42.202176	4.3857122	20645.362	0.31040742	6.5853911
6.93	1084.573	-42.162688	4.345954	19928.147	0.27746878	7.2377758
7.029	786.07548	-40.965372	3.1498552	22963.896	0.31216217	7.7978511
7.128	1073.1236	-42.116186	4.3000756	20494.001	0.30828225	7.661634
7.227	948.48449	-41.616385	3.8006385	20060.971	0.3460692	6.9880021
7.326	1026.7428	-41.930218	4.1142247	20280.52	0.41680203	6.7674202
7.425	1044.4914	-42.001248	4.1853443	19864.041	0.38187511	6.9497264
7.524	920.88653	-41.505664	3.6900517	20890.724	0.36383613	7.4993417
7.623	1014.9209	-41.882985	4.0668537	19760.19	0.36528163	7.7059646
7.722	1018.6053	-41.897683	4.0816171	24963.744	0.33857917	7.7508482
7.821	1073.7526	-42.118699	4.3025958	22269.799	0.32436756	8.1133888
7.92	769.8695	-40.900425	3.0849167	21552.079	0.38312381	8.5962223
8.019	1129.2552	-42.341288	4.5249985	18342.452	0.27868138	9.182549
8.118	830.84859	-41.14498	3.3292639	22990.291	0.29898207	10.125787
8.217	945.62693	-41.604962	3.7891881	21927.977	0.22799696	10.933368
8.316	835.16544	-41.16239	3.3465618	22280.934	0.26037606	11.371943
8.415	1157.5273	-42.45434	4.6382865	18946.155	0.35235831	11.87348
8.514	1004.2045	-41.839284	4.0239123	23655.963	0.38693315	12.785803
8.613	807.9589	-41.053033	3.2375434	21317.968	0.33852704	13.665206
8.712	798.15933	-41.013902	3.1982759	18947.58	0.37705447	14.145101
8.811	892.92557	-41.393733	3.5780104	22175.896	0.34436512	14.752524
8.91	950.90798	-41.626035	3.8103496	20347.134	0.26061936	15.284556
9.009	831.34672	-41.14712	3.3312599	22354.42	0.25482267	16.218554
9.108	1039.8841	-41.982945	4.1668826	20698.595	0.28340733	16.642556
9.207	956.83809	-41.649897	3.8341119	21628.357	0.2649581	17.154574
9.306	1050.1088	-42.023652	4.2078535	22522.139	0.21395266	17.732255
9.405	966.47429	-41.68881	3.8727248	23119.935	0.24970627	18.028627
9.504	987.36355	-41.772317	3.9564294	23631.667	0.33377236	17.687193
9.603	804.56374	-41.039151	3.2239388	30463.45	0.39030146	17.761316
9.702	942.87843	-41.593596	3.7781747	20710.671	0.31430074	17.570671
9.801	1044.565	-42.001682	4.1856393	22530.245	0.21795447	17.632478
9.9	1015.8868	-41.886846	4.0707238	25311.038	0.25824388	18.163831
9.999	1219.6736	-42.70364	4.8873108	22027.111	0.22360146	18.682812
10.098	774.90461	-40.920366	3.1050928	23016.313	0.34717013	19.057331
10.197	1040.571	-41.985711	4.1696353	18569.61	0.42014753	19.251087
10.296	884.3848	-41.359537	3.5437869	22234.462	0.44214711	19.711256
10.395	983.94468	-41.758259	3.9427298	23096.492	0.35091777	20.346321
10.494	1058.503	-42.05707	4.2414896	18756.61	0.20628693	21.043937
10.593	1114.6299	-42.282346	4.4663938	18357.015	0.21821871	21.624373
10.692	881.31968	-41.347398	3.5315048	20300.763	0.33485622	21.746975
10.791	788.58789	-40.975159	3.1599225	21285.793	0.46938194	21.200273
10.89	986.40785	-41.768438	3.9525999	22526.228	0.54583068	20.13315
