# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.088	634.84325	-42.379894	2.5438579	16350.914	0.0783487	0.12750706
5.184	773.96748	-42.939326	3.1013376	18849.228	0.16710562	0.43451911
5.28	692.08686	-42.608522	2.7732367	18014.655	0.2115532	0.83572823
5.376	819.41878	-43.119442	3.2834639	14003.151	0.24852013	1.3146944
5.472	753.77283	-42.85576	3.0204163	15771.825	0.35117656	1.8332758
5.568	658.50539	-42.474275	2.6386736	17655.141	0.42117159	2.2515091
5.664	624.8313	-42.340025	2.5037393	18118.205	0.46487808	2.5225296
5.76	687.6121	-42.592259	2.755306	18283.36	0.43148345	2.5359361
5.856	682.1079	-42.569805	2.7332503	17482.218	0.38527015	2.5984008
5.952	538.94736	-41.995132	2.1595968	23861.548	0.28432954	2.7102102
6.048	872.69593	-43.334371	3.4969489	15221.562	0.17796493	2.4880533
6.144	687.714	-42.591433	2.7557143	14515.643	0.18006591	2.3507658
6.24	695.43086	-42.623145	2.7866363	16260.656	0.26701268	2.4660689
6.336	574.11997	-42.136411	2.3005357	16595.299	0.38643762	2.5384166
6.432	659.08996	-42.476202	2.641016	11920.446	0.42712245	2.5432948
6.528	607.74882	-42.269643	2.4352887	16603.673	0.40360403	2.7988554
6.624	718.75781	-42.716578	2.8801089	19489.967	0.35787449	3.2061791
6.72	579.50537	-42.15658	2.3221154	18880.252	0.38790249	3.3469413
6.816	727.04683	-42.748959	2.9133235	14571.321	0.36100217	3.4481009
6.912	759.97508	-42.881242	3.0452692	18195.1	0.31264463	3.6576538
7.008	661.52423	-42.486088	2.6507702	19216.935	0.29840337	4.0596336
7.104	716.44441	-42.707187	2.8708389	15986.547	0.26358702	4.7416354
7.2	634.43014	-42.377319	2.5422025	18698.308	0.23758693	5.4810608
7.296	705.41838	-42.662084	2.826657	19785.312	0.29862227	5.9706563
7.392	653.38204	-42.452805	2.618144	19282.079	0.31404359	6.3738942
7.488	732.71118	-42.772763	2.9360209	19704.204	0.30409458	6.7351897
7.584	624.42463	-42.338017	2.5021098	21159.755	0.29383936	7.1071927
7.68	691.23876	-42.605713	2.7698383	16581.497	0.26166472	7.2648193
7.776	666.70365	-42.508379	2.6715245	20099.221	0.31688781	7.593049
7.872	693.33537	-42.614838	2.7782396	20640.019	0.44127279	8.0647084
7.968	692.19615	-42.61012	2.7736746	19978.824	0.42739911	8.7021798
8.064	660.60997	-42.482317	2.6471068	18763.226	0.31909399	9.1106624
8.16	696.53945	-42.627544	2.7910785	18512.554	0.27346719	9.1366999
8.256	850.93334	-43.248028	3.4097448	18790.379	0.31858766	9.1145298
8.352	717.4397	-42.710302	2.8748272	16798.792	0.41285863	9.2483222
8.448	646.25857	-42.424563	2.5895998	17554.074	0.37255704	9.3619086
8.544	747.90148	-42.833334	2.9968895	17283.53	0.24614145	9.0837379
8.64	661.49784	-42.48664	2.6506645	18518.021	0.23165547	8.4275219
8.736	718.05564	-42.71287	2.8772952	19767.897	0.22404313	7.9008828
8.832	780.5075	-42.963558	3.1275439	17856.993	0.23476947	7.7935101
8.928	715.82589	-42.704143	2.8683605	20394.106	0.3413148	7.8134985
9.024	646.63587	-42.426219	2.5911116	17699.371	0.41534622	7.593917
9.12	720.36187	-42.722955	2.8865365	17323.364	0.39658491	7.70187
9.216	788.88896	-42.996728	3.161129	17690.724	0.30688922	8.1856377
9.312	833.36678	-43.174769	3.3393544	14401.569	0.23883409	9.1471201
9.408	713.24882	-42.692845	2.858034	16727.68	0.22877515	10.136884
9.504	664.41139	-42.498233	2.6623393	19698.189	0.24060134	11.262139
9.6	749.8147	-42.840776	3.0045559	20116.813	0.28086901	11.918009
9.696	706.06755	-42.665348	2.8292582	18571.96	0.37033509	12.5434
9.792	779.5144	-42.960644	3.1235645	16020.817	0.38185883	13.525157
9.888	750.48019	-42.843309	3.0072225	17010.197	0.36671547	14.215117
9.984	623.52995	-42.333596	2.4985247	18184.934	0.38814106	14.618699
10.08	600.72955	-42.242224	2.407162	19074.389	0.44098987	15.315398
10.176	667.25585	-42.509033	2.6737372	18876.339	0.41345851	16.019621
10.272	643.82616	-42.414821	2.5798529	18650.741	0.33942545	16.126909
10.368	703.84084	-42.656914	2.8203356	17874.553	0.20678345	16.470081
10.464	628.33151	-42.352343	2.5177649	18519.192	0.22838808	16.132787
10.56	686.46784	-42.585689	2.7507209	20709.286	0.21956078	15.592526
10.656	610.48347	-42.282145	2.4462467	22115.936	0.23392121	15.864342
10.752	603.24841	-42.254089	2.4172553	23343.942	0.25454336	16.361082
10.848	725.40917	-42.742262	2.9067613	19570.833	0.26962053	16.69438
