# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.1	824.66242	-42.075818	3.3044755	22322.147	0.1084544	0.20919789
5.2	955.85157	-42.601473	3.8301589	21909.303	0.1655467	0.70283896
5.3	897.64643	-42.368265	3.5969271	17468.77	0.16398568	1.3479986
5.4	888.1047	-42.330063	3.5586928	18980.725	0.20951505	2.0298977
5.5	791.72574	-41.943874	3.1724961	24760.306	0.28461032	2.7886915
5.6	934.18175	-42.514659	3.7433265	20558.326	0.25509251	3.8430529
5.7	835.48292	-42.119189	3.3478339	19207.373	0.21189624	5.0419705
5.8	799.68003	-41.975757	3.2043695	18696.504	0.21785232	5.7493421
5.9	915.09189	-42.43822	3.6668322	17367.736	0.27409865	6.1097238
6.0	892.30597	-42.346917	3.5755276	21703.838	0.24711585	6.6603839
6.1	1001.4125	-42.784117	4.0127245	16879.064	0.21889669	7.1371128
6.2	860.25196	-42.218472	3.4470851	18479.273	0.23767592	7.6288344
6.3	921.46319	-42.463749	3.6923624	21941.06	0.21541341	8.1418103
6.4	841.85538	-42.144716	3.3733688	22517.42	0.21632118	8.8892134
6.5	841.67594	-42.143987	3.3726498	20953.91	0.2776267	9.3923146
6.6	930.68777	-42.500688	3.7293259	21703.387	0.32670922	10.000416
6.7	809.16238	-42.013748	3.2423658	21077.606	0.26571669	10.386556
6.8	768.10407	-41.849215	3.0778425	19027.58	0.21391614	10.386834
6.9	825.3195	-42.078444	3.3071085	21092.107	0.17531213	10.639538
7.0	763.66957	-41.831456	3.0600732	20136.696	0.1508911	11.287289
7.1	706.62473	-41.602856	2.8314909	24551.632	0.18269315	11.67619
7.2	878.37264	-42.291036	3.5196958	21941.175	0.17330556	11.517653
7.3	925.65644	-42.480522	3.7091651	19227.911	0.18049018	11.410822
7.4	745.45209	-41.758454	2.9870746	20205.299	0.27474909	11.290116
7.5	809.29976	-42.014291	3.2429163	21443.392	0.22803761	11.323055
7.6	818.20937	-42.049977	3.2786177	23740.332	0.15916701	11.790465
7.7	832.7356	-42.10822	3.3368252	18954.724	0.22585175	12.432772
7.8	805.30211	-41.998267	3.2268975	20865.045	0.32934186	13.043671
7.9	911.03836	-42.421958	3.6505895	19076.748	0.32334923	13.3226
8.0	887.78154	-42.32878	3.5573979	20008.754	0.36331718	13.814853
8.1	747.26347	-41.765713	2.9943329	20004.096	0.42660186	14.714262
8.2	928.93578	-42.493678	3.7223056	18195.872	0.37932243	16.616005
8.3	911.47611	-42.42372	3.6523436	19696.14	0.28584087	18.805426
8.4	841.18692	-42.142065	3.3706902	18127.299	0.31755116	20.118644
8.5	965.81668	-42.641464	3.8700897	17761.481	0.31096026	20.532779
8.6	771.98453	-41.86478	3.0933918	20656.827	0.31264721	20.479821
8.7	822.84936	-42.068579	3.2972105	20851.694	0.29203237	20.126457
8.8	822.1745	-42.065885	3.2945063	18615.981	0.27106242	19.474923
8.9	906.44889	-42.403549	3.6321992	23464.071	0.28586511	19.365481
9.0	784.72739	-41.915838	3.1444533	24685.15	0.46246502	19.251758
9.1	860.94358	-42.221224	3.4498564	21105.069	0.53084229	19.505968
9.2	785.3011	-41.918119	3.1467521	23545.434	0.37517928	20.166843
9.3	820.02322	-42.057246	3.2858859	19919.787	0.30396846	20.26744
9.4	788.19225	-41.929672	3.1583372	18912.723	0.24685689	20.503244
9.5	774.10194	-41.873246	3.1018764	19664.934	0.27530174	21.1361
9.6	873.46651	-42.271392	3.5000367	18635.63	0.26238078	21.840877
9.7	778.16815	-41.88952	3.1181699	18082.727	0.26726218	22.555167
9.8	853.27174	-42.190465	3.4191149	19026.724	0.30491885	23.020513
9.9	896.59871	-42.364109	3.5927289	22207.84	0.2966816	23.047717
10.0	638.56375	-41.330154	2.5587661	18084.15	0.34141165	22.915768
10.1	792.19016	-41.945747	3.1743571	17585.975	0.4087794	22.728182
10.2	826.8885	-42.08476	3.3133955	19945.292	0.4735821	22.769514
10.3	751.3501	-41.782069	3.0107083	22802.735	0.44026427	23.26168
10.4	797.21978	-41.965861	3.1945111	22260.704	0.2556561	23.316727
10.5	893.36364	-42.351155	3.5797657	18006.487	0.16095379	22.813927
10.6	784.68014	-41.915609	3.1442639	16299.161	0.22360107	23.234938
10.7	748.48862	-41.770615	2.9992422	19616.048	0.23392616	23.647336
10.8	900.77265	-42.380841	3.6094541	21201.738	0.23829215	23.160267
10.9	951.12015	-42.582557	3.8111998	21998.733	0.29798799	23.311754
11.0	866.76511	-42.244581	3.4731837	22332.874	0.31392631	23.872274
