# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.04	561.93832	-43.014771	2.2517231	17216.934	0.015450497	0.024608507
5.12	666.74883	-43.453872	2.6717056	17248.34	0.10039262	0.1937711
5.2	529.95578	-42.826475	2.123567	16563.377	0.18818115	0.47328186
5.28	626.77682	-43.253677	2.5115352	15523.923	0.19598962	0.77392508
5.36	578.28755	-43.033407	2.3172355	18128.497	0.24293567	0.98646456
5.44	551.5052	-42.947443	2.2099169	16965.124	0.25522234	1.0924429
5.52	513.74908	-42.739346	2.0586257	17068.418	0.23127387	1.1292966
5.6	609.50802	-43.191971	2.4423379	17734.424	0.22730589	1.0946827
5.68	489.91598	-42.662317	1.9631249	18511.087	0.22550887	1.1148603
5.76	552.41204	-42.967595	2.2135507	18848.51	0.19434795	1.2459119
5.84	604.78116	-43.151906	2.4233971	16308.647	0.18774674	1.4105043
5.92	533.83026	-42.835977	2.1390923	16419.109	0.25526339	1.6039307
6.0	633.19338	-43.282988	2.5372467	15890.296	0.27487266	1.8302816
6.08	560.41944	-42.945511	2.2456369	18812.788	0.29515184	1.962491
6.16	630.40645	-43.207159	2.5260793	18285.659	0.24230588	2.0740666
6.24	597.32564	-43.095502	2.3935224	17039.81	0.17790939	2.2301287
6.32	489.28278	-42.648134	1.9605877	17183.782	0.18428609	2.3814048
6.4	491.26408	-42.635899	1.9685268	16185.177	0.23598733	2.3806349
6.48	551.7229	-42.869013	2.2107893	15347.483	0.27452303	2.3696985
6.56	607.03786	-43.117712	2.4324399	16270.952	0.28258978	2.5394235
6.64	607.49778	-43.186902	2.4342828	14977.703	0.27663318	2.9249278
6.72	473.4928	-42.568632	1.8973162	16883.323	0.28370122	3.3425449
6.8	420.78395	-42.364139	1.6861084	19957.812	0.34296162	3.5336183
6.88	541.52855	-42.909099	2.1699398	16322.332	0.40054831	3.5140305
6.96	451.14817	-42.476568	1.8077798	16681.616	0.45558784	3.2764082
