# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.1	607.35002	-42.263103	2.4336907	18594.525	0.08640235	0.14684785
5.2	660.83571	-42.477988	2.6480113	18289.407	0.17579057	0.48663164
5.3	688.17461	-42.58789	2.75756	15809.627	0.18580799	0.86138043
5.4	513.18113	-41.886039	2.0563499	20543.013	0.24332605	1.0813176
5.5	703.0852	-42.647293	2.8173078	17732.884	0.23827566	1.1627651
5.6	704.72166	-42.654387	2.8238652	17134.948	0.26362589	1.2038403
5.7	749.1679	-42.83225	3.0019641	15684.019	0.29453878	1.2786829
5.8	589.11935	-42.189935	2.3606392	20273.134	0.36714718	1.5565966
5.9	624.42646	-42.332029	2.5021171	17019.703	0.36644159	1.9166752
6.0	615.00169	-42.294828	2.4643514	17814.176	0.38690873	2.1071741
6.1	696.96472	-42.623349	2.7927826	20917.462	0.33185322	2.2448458
6.2	715.41665	-42.696663	2.8667207	18332.678	0.3034528	2.4011789
6.3	696.35911	-42.620399	2.7903559	17543.372	0.3247157	2.5572301
6.4	711.49568	-42.681494	2.8510091	18563.134	0.2937478	2.5780478
6.5	711.92671	-42.682681	2.8527362	17431.48	0.22353381	2.4334413
6.6	660.33198	-42.475976	2.6459928	16318.007	0.19818967	2.5403702
6.7	749.40678	-42.83311	3.0029213	20120.757	0.24288744	2.6211678
6.8	683.58361	-42.569248	2.7391636	25442.436	0.29009316	2.8119582
6.9	796.42621	-43.021768	3.1913312	22368.057	0.29637067	3.0610182
7.0	773.29759	-42.928762	3.0986533	17616.363	0.25838046	2.8967964
7.1	556.7472	-42.060374	2.2309219	20515.879	0.26552122	2.6253387
7.2	645.99599	-42.418251	2.5885476	19307.171	0.26773375	2.7332308
7.3	856.02897	-43.260416	3.4301633	20328.963	0.24561678	3.1378632
7.4	694.14793	-42.611565	2.7814955	20619.406	0.1990753	3.7127923
7.5	726.30741	-42.740582	2.9103606	15623.842	0.14878417	4.224388
7.6	692.14361	-42.603504	2.7734641	22516.452	0.23104726	4.5240632
7.7	770.63626	-42.918435	3.0879892	19454.241	0.24888512	4.7291762
7.8	615.70698	-42.296523	2.4671776	19921.013	0.1865977	5.2050259
7.9	694.00505	-42.610447	2.780923	19914.56	0.17072075	5.6331964
8.0	754.80875	-42.854835	3.0245673	15413.765	0.20254233	5.907022
8.1	616.9318	-42.302518	2.4720855	19548.077	0.25539253	6.0930794
8.2	654.92257	-42.454661	2.624317	17747.278	0.28429342	5.8662302
8.3	722.41123	-42.725012	2.8947484	17512.499	0.22817128	5.6126266
8.4	584.81585	-42.17304	2.3433948	17522.45	0.18231684	5.3386388
8.5	824.50037	-43.134337	3.3038261	17567.215	0.14026306	5.0384821
8.6	739.51602	-42.793416	2.9632884	19133.9	0.18334854	4.6813546
8.7	711.45781	-42.680908	2.8508573	16370.489	0.19419482	4.6110917
8.8	611.88941	-42.28158	2.4518803	17005.258	0.15891132	4.7060453
8.9	662.25105	-42.483659	2.6536827	17762.521	0.13307	4.6235028
9.0	722.82084	-42.726553	2.8963897	15929.336	0.14074879	4.2404967
9.1	622.64572	-42.325028	2.4949816	17882.817	0.14372029	3.9683837
9.2	683.48228	-42.568656	2.7387576	16270.476	0.19934323	4.0831246
9.3	734.19001	-42.771989	2.9419467	17330.478	0.24234827	4.5481407
9.4	636.96849	-42.382337	2.5523738	19506.55	0.30579825	5.0686165
9.5	684.37659	-42.572215	2.7423411	18392.638	0.40879429	5.3045377
9.6	564.68463	-42.092323	2.2627277	13664.462	0.46368819	5.6985896
9.7	598.268	-42.227248	2.3972984	17107.448	0.36366025	6.1927559
9.8	623.84446	-42.329383	2.499785	21644.38	0.2555979	6.2441961
9.9	670.5719	-42.51662	2.6870249	16742.377	0.20284524	6.2010377
10.0	764.07483	-42.891895	3.0616971	14960.277	0.17782384	6.3597464
10.1	646.3618	-42.419874	2.5900134	15266.777	0.15833239	6.6178959
10.2	592.8206	-42.205278	2.3754704	16318.341	0.17268571	6.8446509
10.3	578.17856	-42.146516	2.3167988	16290.923	0.2049836	7.3147579
10.4	698.45027	-42.629197	2.7987353	17184.201	0.19563905	7.604223
10.5	581.36629	-42.159268	2.3295722	21282.155	0.22791503	7.8708043
10.6	677.52486	-42.545061	2.7148858	19949.392	0.23999392	8.0946686
10.7	764.35269	-42.893123	3.0628105	16730.143	0.26974836	8.2856716
10.8	630.90724	-42.358308	2.528086	16947.889	0.32606197	8.9451415
10.9	612.63126	-42.284758	2.454853	16817.205	0.35266966	9.4948201
11.0	560.23403	-42.074571	2.2448939	23612.56	0.39319911	9.8838964
