# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.1	925.31379	-41.878923	3.707792	18871.131	0.12692971	0.16840538
5.2	784.97926	-41.315833	3.1454625	22026.926	0.26934768	0.64620097
5.3	982.08176	-42.106357	3.935265	19639.173	0.19068627	0.98085997
5.4	884.12761	-41.713315	3.5427563	23617.653	0.1998635	1.1404639
5.5	963.5598	-42.031411	3.8610463	24856.851	0.24260007	1.5445414
5.6	1016.9819	-42.24698	4.0751121	19512.128	0.32382877	2.2379576
5.7	880.83972	-41.700907	3.5295816	19400.664	0.29952758	2.7017643
5.8	948.75797	-41.972851	3.8017344	24682.493	0.21916212	2.8289719
5.9	999.36588	-42.175648	4.0045235	20813.389	0.20523358	3.1846633
6.0	919.88564	-41.85645	3.6860411	26124.978	0.27803168	3.7969244
6.1	939.71011	-41.937007	3.765479	24938.742	0.27712778	4.5111124
6.2	762.03094	-41.223261	3.0535071	24945.976	0.37618391	4.8793167
6.3	908.5039	-41.812357	3.6404337	25186.912	0.38829786	5.5246682
6.4	872.47296	-41.667912	3.4960554	21021.046	0.4214174	6.2125359
6.5	977.75773	-42.089382	3.9179383	17986.421	0.38906459	6.7435052
6.6	890.85307	-41.739684	3.5697057	21405.643	0.34986032	7.2544005
6.7	759.51888	-41.212987	3.0434411	23162.119	0.35494805	7.9550909
6.8	945.65685	-41.960773	3.789308	21975.32	0.34101487	8.2352762
6.9	833.38881	-41.510284	3.3394427	22496.571	0.46977606	8.4629337
7.0	873.92662	-41.672775	3.5018803	17840.296	0.53294771	8.9670161
7.1	917.32858	-41.847054	3.6757948	22702.383	0.50546746	9.7053236
7.2	941.83795	-41.94518	3.7740054	22089.48	0.47319317	10.389078
7.3	826.28541	-41.481363	3.3109789	24670.171	0.47328962	11.10511
7.4	1046.5623	-42.364179	4.1936428	19147.821	0.45197232	11.845476
7.5	943.85375	-41.952724	3.7820828	22246.285	0.41584286	12.772326
7.6	885.62919	-41.720045	3.5487733	19496.207	0.42768188	13.529485
7.7	785.48943	-41.318037	3.1475068	19984.953	0.56571535	13.897007
7.8	1127.403	-42.689727	4.5175765	19241.43	0.51870144	14.415621
7.9	853.84549	-41.591284	3.421414	22154.123	0.40168083	15.465117
8.0	857.29967	-41.605996	3.4352551	17971.53	0.29568889	16.145949
8.1	951.32396	-41.984375	3.8120165	15880.013	0.23338047	16.368735
8.2	801.69085	-41.382421	3.2124269	22084.762	0.30192801	16.116916
8.3	814.27189	-41.433909	3.26284	24760.51	0.45336216	16.128583
8.4	907.31236	-41.806321	3.6356591	24744.873	0.46503699	16.880391
8.5	1069.3911	-42.457207	4.2851189	21760.062	0.31840711	16.690713
8.6	949.7304	-41.976695	3.805631	19130.827	0.30110612	16.752824
8.7	1015.8186	-42.242152	4.0704507	20656.412	0.41919163	17.382663
8.8	1089.8949	-42.540465	4.367279	22010.426	0.4464532	17.84271
8.9	949.30445	-41.974385	3.8039241	19490.216	0.36638901	17.991182
9.0	845.08076	-41.556456	3.3862931	17966.223	0.36090543	18.441163
9.1	966.91984	-42.04646	3.8745102	24789.452	0.37124086	19.437188
9.2	1116.6459	-42.646401	4.474472	18789.946	0.29952155	20.809987
9.3	880.46184	-41.69864	3.5280674	23244.1	0.24078229	22.153475
9.4	925.5236	-41.878794	3.7086327	19429.874	0.25732011	22.548447
9.5	853.60931	-41.590552	3.4204676	18462.996	0.38582581	22.655565
9.6	948.4598	-41.971203	3.8005396	20007.276	0.42036025	23.688061
9.7	802.56509	-41.385961	3.2159301	20926.052	0.46075975	24.951427
9.8	913.61046	-41.831503	3.6608961	21902.852	0.40333303	25.812511
9.9	904.33998	-41.794243	3.6237486	21861.997	0.45083157	25.866529
10.0	659.40797	-40.812875	2.6422903	23390.507	0.52222369	26.152932
10.1	1009.0105	-42.215127	4.0431701	21716.503	0.45074118	27.008303
10.2	778.40182	-41.289594	3.1191063	22824.211	0.4078915	28.04424
10.3	833.05384	-41.508051	3.3381005	21117.913	0.31382471	27.976212
10.4	767.78512	-41.246784	3.0765645	25075.496	0.31741191	27.203364
10.5	1079.444	-42.497859	4.3254017	20797.019	0.22118644	26.114068
10.6	895.5171	-41.758678	3.5883948	18443.89	0.28000404	25.555376
10.7	966.16435	-42.041512	3.8714829	20440.123	0.32717181	25.821801
10.8	874.05175	-41.673323	3.5023817	22536.396	0.44613309	26.547517
10.9	817.46792	-41.446558	3.2756467	19757.882	0.39150125	26.823638
11.0	765.22109	-41.236377	3.0662903	16800.01	0.34463772	27.585549
