# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.1	761.52678	-42.749219	3.0514869	16737.9	0.1169432	0.14281524
5.2	655.46463	-42.316187	2.626489	17826.801	0.27911709	0.49781986
5.3	602.38834	-42.084869	2.4138089	18488.753	0.21931688	0.94064127
5.4	748.51054	-42.696096	2.99933	16353.071	0.15348561	1.2581072
5.5	615.73335	-42.151746	2.4672833	20012.004	0.18701825	1.7001315
5.6	714.4561	-42.553575	2.8628717	18442.537	0.23558217	2.0802652
5.7	600.01277	-42.092408	2.4042899	19059.66	0.25804295	2.3552595
5.8	792.41905	-42.878463	3.1752743	17396.423	0.21679527	2.6236973
5.9	707.81583	-42.531141	2.8362637	20165.419	0.22118944	2.8480091
6.0	704.366	-42.511799	2.82244	19409.328	0.19406574	3.2369452
6.1	733.92186	-42.635236	2.9408722	17993.549	0.205863	3.9192792
6.2	764.3178	-42.766755	3.0626707	17191.025	0.25150804	4.2549114
6.3	688.86882	-42.459627	2.7603418	17327.054	0.24882664	4.7647553
6.4	733.60742	-42.634621	2.9396122	16835.712	0.20524947	5.4911767
6.5	731.88341	-42.635514	2.932704	18511.343	0.20937496	6.1049647
6.6	733.35561	-42.643988	2.9386032	18244.52	0.22662935	6.3074317
6.7	695.44372	-42.48008	2.7866878	17305.765	0.2797684	6.0233272
6.8	746.19062	-42.69645	2.990034	20798.981	0.27740457	5.7017862
6.9	669.54422	-42.374305	2.6829069	18676.743	0.26451301	5.7832834
7.0	664.29208	-42.353926	2.6618612	17728.415	0.19487339	6.2548331
7.1	799.60845	-42.917078	3.2040826	17965.916	0.21855895	6.7095077
7.2	629.49692	-42.217124	2.5224348	18738.039	0.28298077	7.061702
7.3	641.50809	-42.270152	2.5705643	20204.04	0.22372945	7.3249953
7.4	815.45647	-42.973052	3.2675867	18114.839	0.21725468	7.4729086
7.5	547.65253	-41.876906	2.194479	16143.571	0.35935588	7.5970174
7.6	726.29984	-42.620692	2.9103303	16956.508	0.34468449	7.7790702
7.7	728.44818	-42.605191	2.9189388	21743.928	0.35411358	7.8511169
7.8	756.35935	-42.720805	3.0307807	21379.89	0.38704533	8.2114638
7.9	624.84031	-42.186186	2.5037754	16071.63	0.40477837	8.6998504
8.0	593.34326	-42.063765	2.3775647	19807.264	0.40716086	9.1866403
8.1	775.92379	-42.794344	3.1091767	19113.675	0.40207461	9.9911702
8.2	642.54307	-42.250227	2.5747115	21843.851	0.43601418	10.861039
8.3	755.02155	-42.72399	3.02542	20044.191	0.31198458	11.501296
8.4	666.00207	-42.376544	2.6687133	17133.612	0.25626277	11.86123
8.5	750.90162	-42.713322	3.0089112	17776.17	0.26842485	11.939822
8.6	788.52935	-42.863033	3.159688	18755.82	0.24717203	11.746367
8.7	542.9396	-41.854214	2.175594	22089.373	0.32608214	11.783246
8.8	912.79517	-43.357056	3.6576291	17606.575	0.30024988	11.967303
8.9	559.21375	-41.920371	2.2408056	22030.018	0.41741575	12.032265
9.0	694.19917	-42.480616	2.7817009	22238.872	0.40154166	12.21042
9.1	793.13306	-42.88888	3.1781353	20542.686	0.31325402	12.19487
9.2	765.17604	-42.760871	3.0661097	19434.542	0.22953219	12.139465
9.3	750.22991	-42.70151	3.0062196	19901.835	0.24423538	12.262476
9.4	586.31248	-42.039642	2.3493919	23163.583	0.33693569	12.123001
9.5	691.71693	-42.463902	2.7717544	23515.173	0.37594962	11.950621
9.6	714.02448	-42.555546	2.8611421	15938.867	0.32580668	11.725728
9.7	709.72785	-42.551114	2.8439253	17679.434	0.30913735	11.84733
9.8	756.79299	-42.746475	3.0325183	19643.562	0.26977324	12.163342
9.9	656.0822	-42.321639	2.6289637	16336.189	0.27122942	12.208484
10.0	647.22266	-42.265674	2.593463	15231.812	0.33315342	12.563012
10.1	775.48731	-42.80025	3.1074277	16944.756	0.28728566	12.757192
10.2	768.7147	-42.776554	3.0802894	17286.758	0.26668819	12.694821
10.3	601.05021	-42.099038	2.408447	21796.645	0.33627029	12.400618
10.4	702.09382	-42.515089	2.8133352	19133.249	0.3334764	12.377
10.5	665.00874	-42.351375	2.6647329	20786.488	0.31790069	12.336088
10.6	755.44638	-42.725125	3.0271223	15425.994	0.23567705	12.128509
10.7	656.18955	-42.3092	2.6293938	20079.382	0.1937596	12.023737
10.8	928.28701	-43.442753	3.7197059	18339.821	0.26580705	11.928266
10.9	607.90564	-42.125686	2.4359171	21497.85	0.47481554	11.90387
11.0	725.13378	-42.610292	2.9056578	15668.041	0.46519878	11.822052
