# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.1	328.11746	-44.031169	1.3147878	14000.482	0.050382839	0.060309205
5.2	399.98209	-44.319201	1.602754	12865.472	0.13694196	0.201997
5.3	290.72125	-43.881283	1.1649388	16868.643	0.19704113	0.39151793
5.4	401.04579	-44.323524	1.6070163	16402.494	0.14456319	0.5643738
5.5	368.2742	-44.192184	1.4756985	16139.823	0.10850891	0.71128454
5.6	364.56976	-44.1774	1.4608545	15756.995	0.10135001	0.80875826
5.7	306.04031	-43.942746	1.2263233	13770.99	0.090754131	0.88476777
5.8	368.2587	-44.192086	1.4756364	12951.631	0.086313277	0.93621676
5.9	378.55832	-44.233374	1.5169076	11750.463	0.10606633	1.0161462
6.0	338.05711	-44.071036	1.3546167	11925.548	0.11407396	1.0427894
6.1	327.04126	-44.026893	1.3104754	11258.341	0.098842351	1.0700675
6.2	349.43099	-44.116628	1.4001925	13650.778	0.078568706	1.1317509
6.3	338.29466	-44.072	1.3555685	14189.273	0.10133774	1.2001653
6.4	353.78368	-44.134053	1.417634	14187.112	0.086283199	1.2306088
6.5	353.37082	-44.132426	1.4159797	13317.936	0.079108425	1.2573477
6.6	345.97495	-44.102802	1.3863439	12387.22	0.1054208	1.4099695
6.7	283.55589	-43.852623	1.1362268	13044.483	0.12246165	1.6257578
6.8	319.41349	-43.99634	1.2799105	12359.954	0.10389699	1.6553609
6.9	362.03053	-44.167115	1.4506797	11333.418	0.10929962	1.5021011
7.0	398.4948	-44.31327	1.5967944	13282.266	0.11129388	1.2746309
7.1	370.94934	-44.202883	1.4864179	13339.476	0.11141508	1.0578383
7.2	353.17631	-44.131624	1.4152003	12689.488	0.093082876	0.89772659
7.3	349.65875	-44.117517	1.4011052	14356.864	0.069676095	0.8410439
7.4	344.76514	-44.097937	1.3814961	14209.593	0.099037723	0.8734566
7.5	305.18605	-43.93937	1.2229002	13255.294	0.10941594	0.91935923
7.6	366.40798	-44.184673	1.4682204	13118.408	0.084391768	0.90476723
7.7	381.66433	-44.245795	1.5293536	13694.411	0.066045251	0.95603059
7.8	329.72958	-44.03773	1.3212477	16110.198	0.079729677	1.0528041
7.9	397.01916	-44.307419	1.5908814	15469.716	0.090046013	1.1304321
8.0	422.53987	-44.40965	1.6931445	13679.915	0.099021487	1.2237272
8.1	273.49925	-43.812326	1.0959291	13280.066	0.14361434	1.3307577
8.2	365.93716	-44.182794	1.4663338	13316.192	0.13505855	1.479319
8.3	361.50236	-44.165028	1.4485633	12282.096	0.14128786	1.5546601
8.4	375.08214	-44.219441	1.5029783	11588.576	0.1357611	1.6396012
8.5	313.22036	-43.971456	1.2550942	13948.175	0.13075241	1.7398844
8.6	433.58763	-44.453889	1.7374136	11208.642	0.090483976	1.8961788
8.7	390.30959	-44.280463	1.5639957	10127.616	0.067568224	2.1574994
8.8	280.88364	-43.84193	1.1255188	13703.32	0.10665485	2.2532614
8.9	378.98136	-44.235099	1.5186027	12409.069	0.097251453	2.2035647
9.0	343.13031	-44.091394	1.3749453	12169.273	0.089051984	2.0382828
9.1	360.27258	-44.160119	1.4436354	11911.122	0.093901455	1.8446933
9.2	428.76353	-44.434668	1.7180831	12473.248	0.11448061	1.7468436
9.3	315.94946	-43.982425	1.2660299	15909.058	0.12764778	1.7193002
9.4	374.14983	-44.21567	1.4992425	13339.597	0.082532933	1.6607726
9.5	388.28929	-44.272374	1.5559002	10611.714	0.066239037	1.5364798
9.6	386.58434	-44.2655	1.5490684	12461.476	0.084610802	1.4525957
9.7	356.01787	-44.143072	1.4265866	16979.502	0.10370656	1.5009484
9.8	380.13465	-44.239736	1.5232241	14743.264	0.077105888	1.6364737
9.9	419.88942	-44.39907	1.682524	12464.733	0.056054978	1.8358836
10.0	342.99194	-44.090802	1.3743908	12962.352	0.082549335	2.1178078
10.1	352.70168	-44.129746	1.4132984	13250.804	0.090436106	2.4182586
10.2	363.28678	-44.172188	1.4557136	13087.669	0.068486066	2.423585
10.3	369.82746	-44.198375	1.4819225	14047.882	0.059754455	2.2033419
10.4	353.73852	-44.133864	1.4174531	12752.342	0.10698729	2.1014941
10.5	355.73704	-44.141867	1.4254613	12854.917	0.10457087	2.1036123
10.6	365.30516	-44.180266	1.4638013	14373.538	0.12144612	2.1749587
10.7	295.98517	-43.902411	1.1860317	15055.061	0.14498981	2.3046332
10.8	392.25891	-44.288284	1.5718067	14157.447	0.099318903	2.4617807
10.9	328.08718	-44.031108	1.3146665	14278.026	0.097573476	2.5150256
11.0	300.86287	-43.921993	1.2055769	14455.23	0.10870752	2.4483711
