# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.1	294.0189	-5544.179	151.9817	13388.252	0.045690811	0.062194652
5.2	296.44295	-5545.4317	153.23472	13255.115	0.10557685	0.20526923
5.3	294.1282	-5544.2347	152.0382	13210.244	0.12316651	0.36239733
5.4	297.56246	-5546.0109	153.8134	13326.646	0.13290631	0.49557708
5.5	291.61274	-5542.9344	150.73793	13598.751	0.13942275	0.58812833
5.6	297.8551	-5546.1614	153.96467	13403.207	0.1402694	0.64662458
5.7	295.59782	-5544.9949	152.79786	13613.493	0.14738017	0.69596599
5.8	295.63885	-5545.0164	152.81907	13675.317	0.15063126	0.74332967
5.9	296.77836	-5545.6059	153.40809	13679.368	0.14822024	0.80321896
6.0	291.80369	-5543.0337	150.83663	13565.434	0.15245248	0.86376257
6.1	302.22129	-5548.4196	156.2216	13562.101	0.15530298	0.91225705
6.2	301.9831	-5548.296	156.09849	13662.933	0.15714744	0.96538381
6.3	298.62474	-5546.5596	154.36251	13658.648	0.16327376	1.0239683
6.4	291.51576	-5542.8847	150.6878	13784.308	0.16812239	1.0840046
6.5	294.26231	-5544.3047	152.10752	13756.902	0.16772146	1.138769
6.6	299.05316	-5546.7814	154.58396	13647.28	0.17034611	1.1837727
6.7	301.09401	-5547.8363	155.6389	13636.977	0.17590375	1.2245403
6.8	301.81604	-5548.2099	156.01213	13901.659	0.18249346	1.264944
6.9	302.39627	-5548.5094	156.31206	13865.015	0.18797113	1.3045696
7.0	298.99694	-5546.7516	154.5549	13858.166	0.19190878	1.3467763
7.1	304.52762	-5549.6116	157.41377	13869.863	0.19367512	1.4017012
7.2	304.19104	-5549.4377	157.23979	13846.553	0.19623414	1.4690707
7.3	302.39569	-5548.5101	156.31176	13712.574	0.19582944	1.5337849
7.4	303.33843	-5548.9969	156.79907	14040.34	0.19486946	1.585262
7.5	311.34607	-5553.1365	160.93831	13935.236	0.19901223	1.6249662
7.6	302.40205	-5548.5121	156.31504	13899.755	0.20693629	1.6719366
7.7	307.44317	-5551.1193	158.92086	13832.822	0.21206986	1.7276575
7.8	305.15211	-5549.9349	157.73658	14084.711	0.21524152	1.786955
7.9	306.02903	-5550.3884	158.18987	13982.606	0.21232208	1.8329383
8.0	306.00469	-5550.3754	158.17729	14050.972	0.21625009	1.8593734
8.1	307.34826	-5551.0702	158.87179	14350.297	0.22211063	1.8764573
8.2	307.40738	-5551.1005	158.90236	14194.737	0.22404665	1.9018685
8.3	310.36548	-5552.6303	160.43143	13995.596	0.22512489	1.9404222
8.4	313.58334	-5554.2943	162.09478	13831.494	0.22866866	1.9848331
8.5	308.84997	-5551.8467	159.64805	14038.394	0.23044643	2.0392951
8.6	314.514	-5554.7751	162.57585	13973.246	0.23390385	2.1114952
8.7	306.45741	-5550.6096	158.4113	14191.373	0.24178111	2.1777902
8.8	312.83921	-5553.9096	161.71013	14301.806	0.24690604	2.2264847
8.9	312.67204	-5553.8228	161.62372	14250.712	0.25262593	2.2614676
9.0	313.08014	-5554.0336	161.83467	14203.632	0.25795845	2.2952523
9.1	312.02738	-5553.4897	161.29048	14168.086	0.26561499	2.3343286
9.2	313.84237	-5554.4276	162.22868	14265.816	0.2710434	2.3709205
9.3	313.13341	-5554.0616	161.86221	14371.984	0.27832592	2.4001525
9.4	320.43326	-5557.8357	165.63558	14471.088	0.28903931	2.4307579
9.5	313.86969	-5554.4421	162.2428	14616.866	0.30008888	2.4800262
9.6	317.83779	-5556.4941	164.29395	14309.572	0.30102031	2.5432439
9.7	312.54404	-5553.7564	161.55755	14334.045	0.3022819	2.5879087
9.8	322.67624	-5558.9949	166.795	14409.833	0.31283881	2.6191649
9.9	321.36992	-5558.3205	166.11975	14525.575	0.32608266	2.660078
10.0	319.74607	-5557.481	165.28036	14523.586	0.32941005	2.7111893
10.1	321.66555	-5558.4729	166.27256	14413.936	0.3302736	2.7594844
10.2	320.237	-5557.7347	165.53413	14342.805	0.33548279	2.8092566
10.3	316.92567	-5556.0227	163.82246	14307.69	0.34345262	2.85213
10.4	317.77578	-5556.4619	164.2619	14401.933	0.3519328	2.8814468
10.5	318.3636	-5556.7667	164.56575	14628.393	0.3572151	2.9129329
10.6	318.2075	-5556.6861	164.48506	14645.221	0.36109632	2.9432181
10.7	316.16186	-5555.6278	163.42765	14600.219	0.36146114	2.9755523
10.8	322.30816	-5558.8047	166.60474	14385.154	0.36006733	3.0088947
10.9	328.41823	-5561.9646	169.7631	14352.153	0.36155739	3.0499856
11.0	318.19881	-5556.6816	164.48056	14673.747	0.36160557	3.0960951
