# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.1	802.5594	-5257.776	414.85204	19906.864	0.12873703	0.170351
5.2	808.50788	-5260.8508	417.92688	19919.047	0.29175507	0.56119519
5.3	806.22589	-5259.6689	416.74729	20267.415	0.35806441	1.0235269
5.4	803.57878	-5258.3006	415.37897	20128.045	0.41294743	1.4895463
5.5	809.41188	-5261.3176	418.39416	20165.431	0.44725595	1.9279196
5.6	805.72096	-5259.4074	416.48629	20286.933	0.45612742	2.3564505
5.7	805.31281	-5259.1961	416.27531	20080.885	0.47007887	2.7705927
5.8	807.18612	-5260.1657	417.24364	20154.29	0.47583907	3.1809359
5.9	801.96592	-5257.4665	414.54526	20041.203	0.47829661	3.5674458
6.0	801.71953	-5257.3405	414.4179	20117.961	0.4937338	3.9275743
6.1	813.08774	-5263.2166	420.29426	20162.923	0.5035011	4.2631559
6.2	803.898	-5258.4651	415.54398	19982.68	0.51760232	4.5863838
6.3	814.43352	-5263.915	420.98991	20034.574	0.53728594	4.9230109
6.4	799.36613	-5256.1233	413.2014	20066.049	0.55007108	5.2613509
6.5	811.65651	-5262.4784	419.55444	20076.765	0.55709263	5.6048511
6.6	795.24923	-5253.9939	411.07333	20173.464	0.56082837	5.9625098
6.7	806.93627	-5260.0381	417.11449	19946.822	0.55873372	6.3148078
6.8	801.46244	-5257.2069	414.28501	20211.465	0.5485963	6.6305251
6.9	809.35291	-5261.2865	418.36368	20086.458	0.53237894	6.9517123
7.0	795.4484	-5254.0964	411.17628	20138.391	0.53012407	7.2525999
7.1	802.01338	-5257.4909	414.56979	20193.109	0.53133957	7.5227435
7.2	809.13637	-5261.175	418.25175	20166.438	0.53875399	7.8136703
7.3	802.16882	-5257.5718	414.65015	19870.53	0.53628447	8.1195794
7.4	808.0885	-5260.6317	417.71009	19670.501	0.53461288	8.4426584
7.5	806.12877	-5259.6202	416.69709	20268.22	0.53202689	8.7997286
7.6	801.4912	-5257.2208	414.29987	19958.814	0.5221332	9.1414153
7.7	798.40231	-5255.6247	412.70319	19696.349	0.52286503	9.4951003
7.8	789.35214	-5250.9457	408.02506	20246.089	0.53698244	9.8195377
7.9	816.701	-5265.0858	422.16199	20090.057	0.54223598	10.115695
8.0	803.19636	-5258.1041	415.18129	20480.525	0.54677322	10.432237
8.1	812.32384	-5262.8235	419.89939	20099.706	0.54831003	10.769094
8.2	809.07745	-5261.1447	418.22129	20180.378	0.5522871	11.092198
8.3	794.51258	-5253.6137	410.69254	20411.728	0.562478	11.415122
8.4	800.54605	-5256.733	413.81131	20369.678	0.56643221	11.731204
8.5	794.99595	-5253.8633	410.94241	20259.409	0.5673542	12.064457
8.6	804.6548	-5258.8576	415.93517	20277.938	0.56768006	12.40232
8.7	794.77176	-5253.7473	410.82652	20106.094	0.57734093	12.726019
8.8	820.841	-5267.2254	424.302	20126.898	0.58230663	13.011385
8.9	812.08271	-5262.6978	419.77474	20429.029	0.58516329	13.341508
9.0	801.19511	-5257.0694	414.14682	20114.232	0.59404086	13.632818
9.1	808.06854	-5260.6223	417.69978	19985.677	0.59324956	13.884195
9.2	801.85257	-5257.4081	414.48667	20142.244	0.58939081	14.13007
9.3	819.60491	-5266.5874	423.66306	19899.222	0.57334511	14.391809
9.4	797.98266	-5255.4094	412.48627	20234.785	0.55910474	14.655815
9.5	796.83521	-5254.8158	411.89314	20018.574	0.554429	14.921261
9.6	799.33875	-5256.1097	413.18725	19868.025	0.54948692	15.218314
9.7	810.06807	-5261.6563	418.73335	20429.107	0.54745085	15.522864
9.8	812.34484	-5262.834	419.91024	20210.668	0.55647544	15.789689
9.9	799.45448	-5256.1698	413.24707	20468.631	0.56459068	16.051412
10.0	803.24656	-5258.1287	415.20724	20021.149	0.56840409	16.376139
10.1	806.02717	-5259.5673	416.64457	20343.24	0.57339985	16.731381
10.2	814.84214	-5264.126	421.20113	20333.655	0.57424739	17.080656
10.3	814.49942	-5263.9491	421.02397	20180.989	0.57408845	17.411088
10.4	795.45955	-5254.1032	411.18205	20721.09	0.57592889	17.76339
10.5	788.69813	-5250.6087	407.68699	20418.37	0.56949284	18.093562
10.6	821.0223	-5267.3193	424.39572	20265.965	0.55106653	18.438928
10.7	801.53039	-5257.2419	414.32013	20232.548	0.54546083	18.821729
10.8	819.34401	-5266.4516	423.5282	19876.169	0.53887796	19.21452
10.9	807.17157	-5260.1579	417.23612	20561.981	0.53556731	19.610232
11.0	809.39794	-5261.3116	418.38696	20401.095	0.54488844	19.894354
