# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.1	750.31307	-657.30501	48.395803	19764.089	0.12163498	0.17050968
5.2	787.96282	-659.73395	50.824242	19759.38	0.25511367	0.5638727
5.3	756.56021	-657.70809	48.798748	20114.3	0.31345195	1.0209831
5.4	759.04563	-657.86807	48.95906	20125.954	0.36201812	1.4072987
5.5	824.97572	-662.12144	53.211604	19617.435	0.37502273	1.7210926
5.6	771.19825	-658.6523	49.742914	20478.09	0.38679826	2.0705231
5.7	779.75263	-659.20428	50.294678	19636.604	0.39463275	2.4446922
5.8	792.49398	-660.02605	51.116505	20548.59	0.39184022	2.845202
5.9	834.84837	-662.75843	53.848398	19706.352	0.38120125	3.2282868
6.0	767.74497	-658.42918	49.520174	20123.013	0.40500083	3.5614321
6.1	774.67067	-658.87606	49.966888	19696.928	0.40879704	3.8718919
6.2	780.73074	-659.26716	50.357767	20243.227	0.38386388	4.2311207
6.3	802.80766	-660.69144	51.781746	19391.802	0.38385861	4.6609106
6.4	778.89878	-659.1492	50.239604	19432.287	0.41436933	5.0674814
6.5	797.08748	-660.32229	51.41279	19434.853	0.43426103	5.5106596
6.6	785.70028	-659.58769	50.678306	19024.058	0.44448239	5.9813542
6.7	754.16927	-657.55367	48.64453	20459.559	0.45744979	6.4617532
6.8	761.89414	-658.05197	49.142791	19694.101	0.47465665	6.8343505
6.9	775.45259	-658.92665	50.017322	19703.143	0.48421118	7.2071422
7.0	790.63185	-659.90611	50.996397	19470.88	0.47867007	7.6341907
7.1	762.7664	-658.10817	49.199053	19674.113	0.4767763	8.1357026
7.2	748.54371	-657.19139	48.281678	20330.994	0.46581151	8.5171777
7.3	779.8323	-659.20915	50.299817	18633.344	0.44867815	8.710132
7.4	767.69527	-658.42618	49.516969	19576.787	0.4538619	8.899135
7.5	792.92797	-660.05471	51.144498	19614.232	0.43862302	9.1328537
7.6	762.91726	-658.11822	49.208783	19538.932	0.4368315	9.3113674
7.7	780.81162	-659.27275	50.362984	19347.656	0.47368637	9.4724729
7.8	769.01571	-658.51126	49.602138	19867.537	0.49609841	9.6979915
7.9	787.26133	-659.68872	50.778995	19376.707	0.49771212	9.9357038
8.0	750.61181	-657.32418	48.415072	19697.099	0.50372765	10.153098
8.1	792.34788	-660.01739	51.107082	19752.542	0.49645349	10.416068
8.2	769.43083	-658.53832	49.628914	19431.482	0.4938635	10.794599
8.3	794.68855	-660.16781	51.258057	19700.837	0.50245968	11.162646
8.4	757.75652	-657.78572	48.875911	20516.65	0.52120098	11.485688
8.5	752.25292	-657.43013	48.520924	19779.618	0.50224218	11.784767
8.6	747.70639	-657.13602	48.22767	20415.943	0.49969992	12.029796
8.7	810.34609	-661.17773	52.267981	19837.378	0.50392644	12.165625
8.8	785.21127	-659.55615	50.646765	20140.833	0.52035013	12.440685
8.9	778.72287	-659.13797	50.228258	19696.305	0.53192642	12.798161
9.0	769.90439	-658.56947	49.659458	19169.922	0.52752116	13.205586
9.1	756.13334	-657.6805	48.771215	19428.993	0.5095662	13.696477
9.2	770.00822	-658.57521	49.666156	19553.908	0.51773364	14.244229
9.3	770.76962	-658.62493	49.715267	20515.164	0.54046552	14.752997
9.4	804.91351	-660.82789	51.917576	19564.582	0.54209494	15.242373
9.5	774.63492	-658.87413	49.964582	19097.066	0.56658071	15.693633
9.6	734.16011	-656.26307	47.353924	19909.849	0.59371426	15.91876
9.7	790.70571	-659.91166	51.001161	20430.259	0.56214038	16.059008
9.8	760.47533	-657.96069	49.051277	21007.736	0.52283141	16.275362
9.9	785.05661	-659.54677	50.636789	20355.926	0.51836115	16.482286
10.0	772.2735	-658.72193	49.812268	19445.496	0.51831772	16.855053
10.1	749.67198	-657.26322	48.354452	20045.545	0.50951974	17.319472
10.2	782.54402	-659.38409	50.474725	20006.965	0.48178604	17.743835
10.3	791.38145	-659.9541	51.044746	19669.532	0.46180021	18.219518
10.4	778.91301	-659.15048	50.240522	19465.719	0.46885851	18.624187
10.5	780.87176	-659.2768	50.366863	19450.455	0.48996352	18.984621
10.6	755.1909	-657.61968	48.710427	19606.729	0.4793824	19.397526
10.7	787.40069	-659.69806	50.787984	19320.385	0.46549266	19.746441
10.8	757.77747	-657.78603	48.877262	19191.757	0.46751991	20.002679
10.9	762.23062	-658.07308	49.164494	19964.681	0.45476329	20.209655
11.0	809.57719	-661.12855	52.218386	19543.05	0.44491683	20.51377
