

# ========== Energy Minimization ==========
thermo          1
thermo_style    custom step pe lx ly lz vol temp press
minimize 1.0e-10 1.0e-10 10000 100000
Switching to 'neigh_modify every 1 delay 0 check yes' setting during minimization
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
WARNING: Energy due to 3 extra global DOFs will be included in minimizer energies
 (../min.cpp:219)
Per MPI rank memory allocation (min/avg/max) = 4.125 | 4.125 | 4.125 Mbytes
   Step         PotEng           Lx             Ly             Lz           Volume          Temp          Press     
         0  -1.0309331      5              5              3              75             0             -32718.221    
         1  -1.0362097      4.9953283      4.9953283      2.997          74.785055      0             -32902.199    
         2  -1.040661       4.9906033      4.9906033      2.994          74.568928      0             -33050.355    
         3  -1.0451517      4.9858315      4.9858315      2.991          74.351819      0             -33199.539    
         4  -1.049683       4.9810113      4.9810113      2.988          74.133694      0             -33349.799    
         5  -1.0542562      4.9761412      4.9761412      2.985          73.914513      0             -33501.189    
         6  -1.0588728      4.9712195      4.9712195      2.982          73.694236      0             -33653.765    
         7  -1.0635343      4.9662446      4.9662446      2.979          73.472821      0             -33807.589    
         8  -1.0682141      4.9612446      4.9612446      2.9760179      73.25155       0             -33961.805    
         9  -1.0728887      4.9562446      4.9562446      2.9730691      73.03154       0             -34115.662    
        10  -1.0775582      4.9512446      4.9512446      2.9701533      72.812783      0             -34269.185    
        11  -1.0822228      4.9462446      4.9462446      2.9672708      72.595275      0             -34422.402    
        12  -1.0868825      4.9412446      4.9412446      2.9644214      72.37901       0             -34575.344    
        13  -1.0915375      4.9362446      4.9362446      2.9616051      72.163982      0             -34728.039    
        14  -1.096188       4.9312446      4.9312446      2.9588218      71.950183      0             -34880.52     
        15  -1.1008341      4.9262446      4.9262446      2.9560716      71.737608      0             -35032.817    
        16  -1.105476       4.9212446      4.9212446      2.9533543      71.526249      0             -35184.966    
        17  -1.1101139      4.9162446      4.9162446      2.9506698      71.316098      0             -35336.999    
        18  -1.114748       4.9112446      4.9112446      2.9480181      71.107151      0             -35488.954    
        19  -1.1193786      4.9062446      4.9062446      2.945399       70.899395      0             -35640.864    
        20  -1.1240058      4.9012446      4.9012446      2.9428124      70.692825      0             -35792.768    
        21  -1.12863        4.8962446      4.8962446      2.9402582      70.487432      0             -35944.702    
        22  -1.1332514      4.8912446      4.8912446      2.9377363      70.283207      0             -36096.705    
        23  -1.1378703      4.8862446      4.8862446      2.9352464      70.080143      0             -36248.817    
        24  -1.1424869      4.8812446      4.8812446      2.9327885      69.878229      0             -36401.077    
        25  -1.1471016      4.8762446      4.8762446      2.9303624      69.677457      0             -36553.525    
        26  -1.1517147      4.8712446      4.8712446      2.9279678      69.477819      0             -36706.201    
        27  -1.1563264      4.8662446      4.8662446      2.9256048      69.279305      0             -36859.149    
