

# ========== Energy Minimization ==========
thermo          1
thermo_style    custom step pe lx ly lz vol temp press
minimize 1.0e-10 1.0e-10 10000 100000
Switching to 'neigh_modify every 1 delay 0 check yes' setting during minimization
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
WARNING: Energy due to 3 extra global DOFs will be included in minimizer energies
 (../min.cpp:219)
Per MPI rank memory allocation (min/avg/max) = 4.082 | 4.082 | 4.082 Mbytes
   Step         PotEng           Lx             Ly             Lz           Volume          Temp          Press     
         0  -0.1197529      6              6              6              216            0             -1759.9121    
         1  -0.12046716     5.994          5.994          5.994          215.35265      0             -1775.6288    
         2  -0.12118635     5.988          5.988          5.988          214.70659      0             -1791.5007    
         3  -0.12191052     5.982          5.982          5.982          214.06183      0             -1807.5292    
         4  -0.12263971     5.976          5.976          5.976          213.41835      0             -1823.7162    
         5  -0.12337396     5.97           5.97           5.97           212.77617      0             -1840.0633    
         6  -0.12411331     5.964          5.964          5.964          212.13528      0             -1856.5722    
         7  -0.12485779     5.958          5.958          5.958          211.49568      0             -1873.2447    
         8  -0.12560745     5.952          5.952          5.952          210.85736      0             -1890.0826    
         9  -0.12636232     5.946          5.946          5.946          210.22033      0             -1907.0876    
        10  -0.12712246     5.94           5.94           5.94           209.58458      0             -1924.2616    
        11  -0.1278879      5.934          5.934          5.934          208.95012      0             -1941.6064    
        12  -0.12865868     5.928          5.928          5.928          208.31694      0             -1959.1238    
        13  -0.12943484     5.922          5.922          5.922          207.68504      0             -1976.8157    
        14  -0.13021643     5.916          5.916          5.916          207.05442      0             -1994.6841    
        15  -0.13100349     5.91           5.91           5.91           206.42507      0             -2012.7307    
        16  -0.13179607     5.904          5.904          5.904          205.797        0             -2030.9576    
        17  -0.1325942      5.898          5.898          5.898          205.17021      0             -2049.3668    
        18  -0.13339793     5.892          5.892          5.892          204.54469      0             -2067.9601    
        19  -0.13420731     5.886          5.886          5.886          203.92045      0             -2086.7397    
        20  -0.13502237     5.88           5.88           5.88           203.29747      0             -2105.7075    
        21  -0.13584318     5.874          5.874          5.874          202.67577      0             -2124.8656    
        22  -0.13666976     5.868          5.868          5.868          202.05533      0             -2144.2161    
        23  -0.13750217     5.862          5.862          5.862          201.43616      0             -2163.761     
        24  -0.13834046     5.856          5.856          5.856          200.81826      0             -2183.5026    
        25  -0.13918466     5.85           5.85           5.85           200.20162      0             -2203.443     
        26  -0.14003483     5.844          5.844          5.844          199.58625      0             -2223.5843    
        27  -0.14089102     5.838          5.838          5.838          198.97214      0             -2243.9287    
        28  -0.14175327     5.832          5.832          5.832          198.35929      0             -2264.4785    
        29  -0.14262163     5.826          5.826          5.826          197.7477       0             -2285.236     
        30  -0.14349615     5.82           5.82           5.82           197.13737      0             -2306.2034    
        31  -0.14437688     5.814          5.814          5.814          196.52829      0             -2327.383     
        32  -0.14526387     5.808          5.808          5.808          195.92047      0             -2348.7772    
        33  -0.14615717     5.802          5.802          5.802          195.31391      0             -2370.3883    
        34  -0.14705684     5.796          5.796          5.796          194.7086       0             -2392.2187    
        35  -0.14796291     5.79           5.79           5.79           194.10454      0             -2414.2709    
        36  -0.14887545     5.784          5.784          5.784          193.50173      0             -2436.5473    
        37  -0.1497945      5.778          5.778          5.778          192.90017      0             -2459.0503    
        38  -0.15245916     5.772          5.772          5.772          192.29986      0             -2510.7528    
        39  -0.15340229     5.766          5.766          5.766          191.7008       0             -2533.9891    
        40  -0.15435216     5.76           5.76           5.76           191.10298      0             -2557.4626    
        41  -0.15530885     5.754          5.754          5.754          190.5064       0             -2581.1758    
        42  -0.15627239     5.748          5.748          5.748          189.91107      0             -2605.1315    
        43  -0.15724286     5.742          5.742          5.742          189.31698      0             -2629.3323    
        44  -0.1582203      5.736          5.736          5.736          188.72413      0             -2653.7809    
        45  -0.15920477     5.73           5.73           5.73           188.13252      0             -2678.4802    
        46  -0.16019633     5.724          5.724          5.724          187.54214      0             -2703.4329    
        47  -0.16119504     5.718          5.718          5.718          186.95301      0             -2728.6418    
        48  -0.16220095     5.712          5.712          5.712          186.3651       0             -2754.1098    
        49  -0.16321412     5.706          5.706          5.706          185.77844      0             -2779.8398    
        50  -0.16423462     5.7            5.7            5.7            185.193        0             -2805.8348    
        51  -0.16526249     5.694          5.694          5.694          184.6088       0             -2832.0976    
        52  -0.16629781     5.688          5.688          5.688          184.02582      0             -2858.6313    
        53  -0.16734063     5.682          5.682          5.682          183.44407      0             -2885.4389    
        54  -0.16839101     5.676          5.676          5.676          182.86356      0             -2912.5235    
        55  -0.16944901     5.67           5.67           5.67           182.28426      0             -2939.8882    
        56  -0.17051471     5.664          5.664          5.664          181.70619      0             -2967.5361    
