

# ========== Energy Minimization ==========
thermo          1
thermo_style    custom step pe lx ly lz vol temp press
minimize 1.0e-10 1.0e-10 10000 100000
Switching to 'neigh_modify every 1 delay 0 check yes' setting during minimization
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
WARNING: Energy due to 3 extra global DOFs will be included in minimizer energies
 (../min.cpp:219)
Per MPI rank memory allocation (min/avg/max) = 4.138 | 4.138 | 4.138 Mbytes
   Step         PotEng           Lx             Ly             Lz           Volume          Temp          Press     
         0  -2.2614571      3              3              5              45             0             -110982.58    
         1  -2.2701724      2.9975595      2.9975595      4.995          44.881888      0             -111381.87    
         2  -2.2784477      2.9951295      2.9951295      4.99           44.764294      0             -111746.45    
         3  -2.28672        2.9927082      2.9927082      4.985          44.647167      0             -112107.22    
         4  -2.294989       2.9902957      2.9902957      4.98           44.530505      0             -112464.1     
         5  -2.3032544      2.9878921      2.9878921      4.975          44.414309      0             -112817.01    
         6  -2.3115156      2.9854974      2.9854974      4.97           44.298578      0             -113165.86    
         7  -2.3197722      2.9831117      2.9831117      4.965          44.183313      0             -113510.56    
         8  -2.3280239      2.9807349      2.9807349      4.96           44.068513      0             -113851.04    
         9  -2.3362703      2.9783673      2.9783673      4.955          43.954178      0             -114187.19    
        10  -2.3445109      2.9760087      2.9760087      4.95           43.840307      0             -114518.95    
        11  -2.3527453      2.9736592      2.9736592      4.945          43.726901      0             -114846.22    
        12  -2.3609732      2.971319       2.971319       4.94           43.613959      0             -115168.92    
        13  -2.3691941      2.968988       2.968988       4.935          43.501481      0             -115486.96    
        14  -2.3774075      2.9666663      2.9666663      4.93           43.389467      0             -115800.26    
        15  -2.3856132      2.9643539      2.9643539      4.925          43.277916      0             -116108.72    
        16  -2.3938106      2.9620509      2.9620509      4.92           43.166829      0             -116412.27    
        17  -2.4019994      2.9597574      2.9597574      4.915          43.056205      0             -116710.81    
        18  -2.4101792      2.9574733      2.9574733      4.91           42.946043      0             -117004.26    
        19  -2.4183495      2.9551987      2.9551987      4.905          42.836344      0             -117292.54    
        20  -2.42651        2.9529338      2.9529338      4.9            42.727107      0             -117575.56    
        21  -2.4346602      2.9506784      2.9506784      4.895          42.618332      0             -117853.22    
        22  -2.4427998      2.9484327      2.9484327      4.89           42.510018      0             -118125.46    
        23  -2.4509283      2.9461967      2.9461967      4.885          42.402165      0             -118392.17    
        24  -2.4590453      2.9439704      2.9439704      4.88           42.294773      0             -118653.28    
        25  -2.4671505      2.9417539      2.9417539      4.875          42.187841      0             -118908.69    
        26  -2.4752434      2.9395473      2.9395473      4.87           42.081369      0             -119158.33    
        27  -2.4833236      2.9373505      2.9373505      4.865          41.975357      0             -119402.11    
        28  -2.4913907      2.9351637      2.9351637      4.86           41.869803      0             -119639.94    
        29  -2.4994444      2.9329868      2.9329868      4.855          41.764709      0             -119871.73    
        30  -2.5074842      2.93082        2.93082        4.85           41.660072      0             -120097.42    
        31  -2.5155097      2.9286631      2.9286631      4.845          41.555893      0             -120316.9     
        32  -2.5235206      2.9265164      2.9265164      4.84           41.452172      0             -120530.09    
        33  -2.5315165      2.9243798      2.9243798      4.835          41.348907      0             -120736.92    
        34  -2.5394969      2.9222534      2.9222534      4.83           41.246099      0             -120937.3     
        35  -2.5474615      2.9201372      2.9201372      4.825          41.143746      0             -121131.15    
        36  -2.5571532      2.9180312      2.9180312      4.82           41.041849      0             -121454.45    
        37  -2.5650967      2.9159338      2.9159338      4.815          40.940356      0             -121635.92    
        38  -2.5730232      2.9138467      2.9138467      4.81           40.839318      0             -121810.6     
        39  -2.5809324      2.91177        2.91177        4.805          40.738733      0             -121978.42    
        40  -2.5888239      2.9097037      2.9097037      4.8            40.638602      0             -122139.29    
        41  -2.5966973      2.9076478      2.9076478      4.795          40.538923      0             -122293.13    
        42  -2.6045523      2.9056024      2.9056024      4.79           40.439696      0             -122439.87    
        43  -2.6123885      2.9035675      2.9035675      4.785          40.340921      0             -122579.43    
        44  -2.6219516      2.9015432      2.9015432      4.78           40.242596      0             -122850.72    
        45  -2.6297514      2.8995341      2.8995341      4.775          40.144847      0             -122977.11    
        46  -2.6375314      2.8975355      2.8975355      4.77           40.047547      0             -123096.12    
        47  -2.6452914      2.8955476      2.8955476      4.765          39.950695      0             -123207.68    
        48  -2.6530309      2.8935704      2.8935704      4.76           39.854289      0             -123311.7     
        49  -2.6607497      2.8916039      2.8916039      4.755          39.758329      0             -123408.13    
        50  -2.6684474      2.8896481      2.8896481      4.75           39.662814      0             -123496.87    
        51  -2.6761237      2.8877031      2.8877031      4.745          39.567744      0             -123577.86    
        52  -2.6837781      2.8857689      2.8857689      4.74           39.473118      0             -123651.03    
        53  -2.6914104      2.8838455      2.8838455      4.735          39.378935      0             -123716.3     
        54  -2.6990203      2.881933       2.881933       4.73           39.285195      0             -123773.61    
        55  -2.7066074      2.8800314      2.8800314      4.725          39.191896      0             -123822.88    
        56  -2.7141714      2.8781408      2.8781408      4.72           39.099038      0             -123864.04    
        57  -2.721712       2.8762611      2.8762611      4.715          39.006619      0             -123897.03    
        58  -2.7292289      2.8743924      2.8743924      4.71           38.91464       0             -123921.78    
        59  -2.7367217      2.8725347      2.8725347      4.705          38.8231        0             -123938.22    
        60  -2.7441901      2.8706881      2.8706881      4.7            38.731997      0             -123946.29    
        61  -2.7516339      2.8688526      2.8688526      4.695          38.64133       0             -123945.92    
        62  -2.7590527      2.8670282      2.8670282      4.69           38.5511        0             -123937.05    
        63  -2.7664463      2.8652149      2.8652149      4.685          38.461304      0             -123919.61    
        64  -2.7738143      2.8634128      2.8634128      4.68           38.371943      0             -123893.55    
        65  -2.7811565      2.8616219      2.8616219      4.675          38.283015      0             -123858.8     
        66  -2.7884725      2.8598423      2.8598423      4.67           38.194519      0             -123815.3     
        67  -2.7957622      2.8580738      2.8580738      4.665          38.106454      0             -123763       
        68  -2.8030251      2.8563167      2.8563167      4.66           38.01882       0             -123701.83    
        69  -2.8102611      2.8545709      2.8545709      4.655          37.931616      0             -123631.75    
        70  -2.8174699      2.8528363      2.8528363      4.65           37.84484       0             -123552.68    
        71  -2.8246511      2.8511132      2.8511132      4.645          37.758491      0             -123464.59    
        72  -2.8318046      2.8494014      2.8494014      4.64           37.67257       0             -123367.41    
        73  -2.8389301      2.847701       2.847701       4.635          37.587074      0             -123261.09    
        74  -2.8460272      2.8460121      2.8460121      4.63           37.502003      0             -123145.59    
        75  -2.8530959      2.8443346      2.8443346      4.625          37.417356      0             -123020.85    
        76  -2.8601358      2.8426685      2.8426685      4.62           37.333131      0             -122886.82    
        77  -2.8671466      2.841014       2.841014       4.615          37.249329      0             -122743.46    
        78  -2.8741283      2.839371       2.839371       4.61           37.165947      0             -122590.71    
        79  -2.8810804      2.8377395      2.8377395      4.605          37.082985      0             -122428.53    
        80  -2.8912026      2.8361196      2.8361196      4.6            37.000441      0             -122533.94    
        81  -2.8981107      2.8345112      2.8345112      4.595          36.918316      0             -122354.75    
        82  -2.9049887      2.8329145      2.8329145      4.59           36.836606      0             -122166.02    
        83  -2.9118364      2.8313293      2.8313293      4.585          36.755312      0             -121967.68    
        84  -2.9203941      2.8297558      2.8297558      4.58           36.674431      0             -121911.74    
        85  -2.9271869      2.8281966      2.8281966      4.575          36.594035      0             -121695.99    
        86  -2.9339488      2.8266491      2.8266491      4.57           36.51405       0             -121470.55    
        87  -2.9406799      2.8251133      2.8251133      4.565          36.434475      0             -121235.4     
        88  -2.9473797      2.8235891      2.8235891      4.56           36.355308      0             -120990.49    
        89  -2.9540481      2.8220765      2.8220765      4.555          36.276549      0             -120735.8     
        90  -2.960685       2.8205757      2.8205757      4.55           36.198196      0             -120471.29    
        91  -2.9672901      2.8190866      2.8190866      4.545          36.120248      0             -120196.93    
        92  -2.9738633      2.8176092      2.8176092      4.54           36.042705      0             -119912.69    
        93  -2.9838903      2.8161436      2.8161436      4.535          35.965565      0             -119929.02    
        94  -2.9904186      2.8146853      2.8146853      4.53           35.888714      0             -119625.57    
        95  -2.9969144      2.8132388      2.8132388      4.525          35.812265      0             -119312.1     
        96  -3.0033774      2.8118041      2.8118041      4.52           35.736216      0             -118988.6     
        97  -3.0098074      2.8103813      2.8103813      4.515          35.660566      0             -118655.03    
        98  -3.0162042      2.8089702      2.8089702      4.51           35.585315      0             -118311.37    
        99  -3.0225678      2.8075711      2.8075711      4.505          35.510461      0             -117957.61    
       100  -3.0288979      2.8061838      2.8061838      4.5            35.436003      0             -117593.72    
       101  -3.0351944      2.8048084      2.8048084      4.495          35.36194       0             -117219.68    
       102  -3.0414571      2.8034449      2.8034449      4.49           35.288271      0             -116835.47    
       103  -3.0476858      2.8020933      2.8020933      4.485          35.214995      0             -116441.08    
       104  -3.0538805      2.8007537      2.8007537      4.48           35.14211       0             -116036.49    
       105  -3.0600409      2.799426       2.799426       4.475          35.069617      0             -115621.68    
       106  -3.066167       2.7981103      2.7981103      4.47           34.997513      0             -115196.65    
       107  -3.0722585      2.7968066      2.7968066      4.465          34.925797      0             -114761.39    
       108  -3.0783153      2.7955149      2.7955149      4.46           34.854469      0             -114315.87    
       109  -3.0843373      2.7942352      2.7942352      4.455          34.783527      0             -113860.1     
       110  -3.0903244      2.7929675      2.7929675      4.45           34.712971      0             -113394.07    
       111  -3.0962764      2.791712       2.791712       4.445          34.642799      0             -112917.76    
       112  -3.1021932      2.7904684      2.7904684      4.44           34.573011      0             -112431.19    
       113  -3.1080747      2.789237       2.789237       4.435          34.503605      0             -111934.33    
       114  -3.1139206      2.7880177      2.7880177      4.43           34.434579      0             -111427.21    
       115  -3.119731       2.7868105      2.7868105      4.425          34.365935      0             -110909.8     
       116  -3.1255057      2.7856155      2.7856155      4.42           34.297669      0             -110382.12    
       117  -3.1312446      2.7844326      2.7844326      4.415          34.229782      0             -109844.17    
       118  -3.1369475      2.7832619      2.7832619      4.41           34.162272      0             -109295.94    
       119  -3.1426144      2.7821034      2.7821034      4.405          34.095138      0             -108737.46    
       120  -3.148245       2.7809571      2.7809571      4.4            34.028379      0             -108168.73    
       121  -3.1538394      2.7798231      2.7798231      4.395          33.961995      0             -107589.75    
       122  -3.1593974      2.7787013      2.7787013      4.39           33.895985      0             -107000.54    
       123  -3.1649189      2.7775918      2.7775918      4.385          33.830347      0             -106401.12    
       124  -3.1704038      2.7764946      2.7764946      4.38           33.76508       0             -105791.48    
       125  -3.1758519      2.7754097      2.7754097      4.375          33.700184      0             -105171.66    
       126  -3.1812633      2.7743372      2.7743372      4.37           33.635658      0             -104541.68    
       127  -3.1883749      2.7732771      2.7732771      4.365          33.571501      0             -104067.3     
       128  -3.1937201      2.7722253      2.7722253      4.36           33.507618      0             -103415.78    
       129  -3.1990281      2.7711861      2.7711861      4.355          33.444102      0             -102754.11    
       130  -3.2042986      2.7701593      2.7701593      4.35           33.380954      0             -102082.32    
       131  -3.2095317      2.769145       2.769145       4.345          33.318173      0             -101400.44    
       132  -3.2147272      2.7681432      2.7681432      4.34           33.255758      0             -100708.49    
       133  -3.2198851      2.767154       2.767154       4.335          33.193708      0             -100006.51    
       134  -3.2250052      2.7661774      2.7661774      4.33           33.132022      0             -99294.525    
       135  -3.2300874      2.7652133      2.7652133      4.325          33.0707        0             -98572.582    
       136  -3.2351317      2.7642619      2.7642619      4.32           33.009742      0             -97840.715    
       137  -3.240138       2.7633232      2.7633232      4.315          32.949146      0             -97098.967    
