

# ========== Energy Minimization ==========
thermo          1
thermo_style    custom step pe lx ly lz vol temp press
minimize 1.0e-10 1.0e-10 100000 100000
Switching to 'neigh_modify every 1 delay 0 check yes' setting during minimization
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
WARNING: Energy due to 3 extra global DOFs will be included in minimizer energies
 (../min.cpp:219)
Per MPI rank memory allocation (min/avg/max) = 4.102 | 4.102 | 4.102 Mbytes
   Step         PotEng           Lx             Ly             Lz           Volume          Temp          Press     
         0  -0.18252496     5              5              7              175            0             -3294.169     
         1  -0.18447411     4.995          4.995          6.9931442      174.47912      0             -3339.2179    
         2  -0.18555997     4.99           4.99           6.9863369      173.96049      0             -3368.5893    
         3  -0.18665318     4.985          4.985          6.9795303      173.4429       0             -3398.244     
         4  -0.18775382     4.98           4.98           6.9727238      172.92634      0             -3428.1857    
         5  -0.18886194     4.975          4.975          6.9659174      172.41081      0             -3458.4174    
         6  -0.18997762     4.97           4.97           6.9591112      171.89631      0             -3488.9423    
         7  -0.19110089     4.965          4.965          6.9523051      171.38284      0             -3519.7632    
         8  -0.19223183     4.96           4.96           6.9454991      170.87039      0             -3550.8835    
         9  -0.19337049     4.955          4.955          6.9386933      170.35897      0             -3582.3062    
        10  -0.19451692     4.95           4.95           6.9318877      169.84858      0             -3614.0345    
        11  -0.1956712      4.945          4.945          6.9250821      169.33921      0             -3646.0715    
        12  -0.19683337     4.94           4.94           6.9182767      168.83086      0             -3678.4207    
        13  -0.1980035      4.935          4.935          6.9114714      168.32353      0             -3711.0852    
        14  -0.19918166     4.93           4.93           6.9046663      167.81722      0             -3744.0684    
        15  -0.2003679      4.925          4.925          6.8978613      167.31194      0             -3777.3737    
        16  -0.20156228     4.92           4.92           6.8910564      166.80767      0             -3811.0044    
        17  -0.20276487     4.915          4.915          6.8842516      166.30442      0             -3844.964     
        18  -0.20397573     4.91           4.91           6.877447       165.80218      0             -3879.256     
        19  -0.20519492     4.905          4.905          6.8706425      165.30096      0             -3913.8839    
        20  -0.20642252     4.9            4.9            6.8638382      164.80075      0             -3948.8512    
        21  -0.20765858     4.895          4.895          6.857034       164.30156      0             -3984.1616    
        22  -0.20890317     4.89           4.89           6.8502299      163.80338      0             -4019.8187    
        23  -0.21015635     4.885          4.885          6.8434259      163.30621      0             -4055.8261    
        24  -0.21141819     4.88           4.88           6.8366221      162.81005      0             -4092.1876    
        25  -0.21268877     4.875          4.875          6.8298184      162.3149       0             -4128.907     
        26  -0.21396814     4.87           4.87           6.8230148      161.82076      0             -4165.988     
        27  -0.21525637     4.865          4.865          6.8162114      161.32763      0             -4203.4345    
        28  -0.21655354     4.86           4.86           6.8094081      160.8355       0             -4241.2504    
        29  -0.21785971     4.855          4.855          6.8026049      160.34437      0             -4279.4396    
        30  -0.21917496     4.85           4.85           6.7958019      159.85425      0             -4318.0062    
        31  -0.22049935     4.845          4.845          6.7889989      159.36513      0             -4356.9541    
        32  -0.22183295     4.84           4.84           6.7821961      158.87701      0             -4396.2874    
        33  -0.22317584     4.835          4.835          6.7753935      158.3899       0             -4436.0102    
        34  -0.22452809     4.83           4.83           6.7685909      157.90378      0             -4476.1267    
        35  -0.22588977     4.825          4.825          6.7617885      157.41866      0             -4516.6411    
        36  -0.22726095     4.82           4.82           6.7549862      156.93454      0             -4557.5576    
        37  -0.22864172     4.815          4.815          6.748184       156.45142      0             -4598.8807    
        38  -0.23003214     4.81           4.81           6.741382       155.96929      0             -4640.6145    
        39  -0.23143229     4.805          4.805          6.73458        155.48815      0             -4682.7636    
        40  -0.23284225     4.8            4.8            6.7277782      155.00801      0             -4725.3323    
        41  -0.23426208     4.795          4.795          6.7209765      154.52886      0             -4768.3253    
        42  -0.23569188     4.79           4.79           6.714175       154.0507       0             -4811.7469    
        43  -0.23713172     4.785          4.785          6.7073735      153.57353      0             -4855.602     
        44  -0.23858168     4.78           4.78           6.7005722      153.09735      0             -4899.895     
        45  -0.24004183     4.775          4.775          6.693771       152.62216      0             -4944.6308    
        46  -0.24151226     4.77           4.77           6.6869699      152.14796      0             -4989.814     
        47  -0.24299305     4.765          4.765          6.680169       151.67474      0             -5035.4496    
        48  -0.24448428     4.76           4.76           6.6733681      151.20251      0             -5081.5424    
        49  -0.24598603     4.755          4.755          6.6665674      150.73126      0             -5128.0973    
        50  -0.24749838     4.75           4.75           6.6597668      150.26099      0             -5175.1193    
        51  -0.24902142     4.745          4.745          6.6529663      149.7917       0             -5222.6134    
        52  -0.25055523     4.74           4.74           6.6461659      149.3234       0             -5270.5849    
        53  -0.2520999      4.735          4.735          6.6393656      148.85607      0             -5319.0387    
        54  -0.25365551     4.73           4.73           6.6325655      148.38972      0             -5367.9802    
        55  -0.25522216     4.725          4.725          6.6257654      147.92435      0             -5417.4146    
        56  -0.25679992     4.72           4.72           6.6189655      147.45996      0             -5467.3473    
        57  -0.25838888     4.715          4.715          6.6121657      146.99654      0             -5517.7837    
        58  -0.25998914     4.71           4.71           6.6053659      146.5341       0             -5568.7291    
        59  -0.26160078     4.705          4.705          6.5985663      146.07263      0             -5620.1892    
