# Time   VAF(t)
0.000000  2.082184
0.098333  0.331600
0.196667  -0.044836
0.295000  -0.015308
0.393333  0.016745
0.491667  -0.007227
0.590000  -0.013776
0.688333  -0.005360
0.786667  0.004965
0.885000  0.012104
0.983333  0.006943
1.081667  -0.006895
1.180000  0.005370
1.278333  0.009155
1.376667  0.004148
1.475000  -0.024775
1.573333  -0.012618
1.671667  -0.012089
1.770000  -0.004248
1.868333  0.002945
1.966667  0.003692
2.065000  -0.040042
2.163333  -0.033948
2.261667  -0.031746
2.360000  0.000424
2.458333  0.008213
2.556667  -0.001615
2.655000  0.006530
2.753333  0.012545
2.851667  -0.025183
2.950000  -0.025874
3.048333  0.015705
3.146667  -0.009497
3.245000  -0.016754
3.343333  -0.007536
3.441667  -0.001220
3.540000  -0.000799
3.638333  -0.007042
3.736667  0.008166
3.835000  -0.020263
3.933333  -0.008976
4.031667  0.001815
4.130000  0.016685
4.228333  -0.008564
4.326667  0.016673
4.425000  0.040609
4.523333  -0.006886
4.621667  -0.005559
4.720000  -0.014541
4.818333  0.003333
