# Time   VAF(t)
0.000000  0.070247
0.098333  0.036732
0.196667  -0.003689
0.295000  -0.008975
0.393333  -0.021011
0.491667  -0.034502
0.590000  -0.026178
0.688333  -0.019594
0.786667  -0.012296
0.885000  0.008840
0.983333  0.019877
1.081667  0.019760
1.180000  0.024593
1.278333  0.019042
1.376667  0.000751
1.475000  -0.009170
1.573333  -0.012914
1.671667  -0.019113
1.770000  -0.018188
1.868333  -0.007622
1.966667  0.000640
2.065000  0.003512
2.163333  0.010750
2.261667  0.020286
2.360000  0.016305
2.458333  0.002642
2.556667  -0.004300
2.655000  -0.008691
2.753333  -0.015075
2.851667  -0.014061
2.950000  -0.007954
3.048333  -0.000889
3.146667  0.010804
3.245000  0.015587
3.343333  0.007564
3.441667  0.003687
3.540000  0.004011
3.638333  -0.002953
3.736667  -0.007421
3.835000  -0.005382
3.933333  -0.005657
4.031667  -0.003470
4.130000  0.000882
4.228333  -0.001168
4.326667  -0.000920
4.425000  0.004856
4.523333  0.004250
4.621667  0.001885
4.720000  0.004961
4.818333  0.004213
