# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.1	816.0341	-1139.4104	91.029832	20088.936	0.1240276	0.17301147
5.2	806.17831	-1138.3114	89.930404	20453.604	0.2927338	0.58316003
5.3	799.66205	-1137.5849	89.203505	19965.924	0.35606413	1.0797044
5.4	783.9735	-1135.835	87.453424	19985.955	0.40626236	1.569244
5.5	799.39725	-1137.5555	89.173967	20290.952	0.43810622	2.0201693
5.6	780.25274	-1135.4189	87.038367	20212.233	0.44664059	2.4448112
5.7	764.38131	-1133.6478	85.267886	20436.527	0.45902789	2.7902218
5.8	838.27404	-1141.8926	93.510731	19966.825	0.44991261	3.1054712
5.9	790.20225	-1136.5287	88.14825	20373.306	0.46468924	3.4280405
6.0	790.08176	-1136.5159	88.13481	20711.646	0.49196404	3.7417759
6.1	802.71996	-1137.9256	89.54462	20762.53	0.51046876	4.0747331
6.2	801.96136	-1137.8409	89.459997	20063.976	0.50733985	4.4412319
6.3	800.11523	-1137.6348	89.254058	20098.781	0.51650246	4.8401899
6.4	785.52532	-1136.0076	87.626532	20688.43	0.52666087	5.2632542
6.5	782.05471	-1135.6202	87.239381	20116.141	0.52930065	5.6001236
6.6	788.84556	-1136.378	87.996909	20215.397	0.52930401	5.8279378
6.7	797.08436	-1137.2962	88.91596	20134.819	0.51989637	6.0727272
6.8	776.43988	-1134.9924	86.613037	20402.811	0.50619103	6.3729217
6.9	806.06722	-1138.2991	89.918012	20323.799	0.50396879	6.6793454
7.0	794.05502	-1136.9589	88.578033	20293.465	0.49813149	7.0014705
7.1	806.98389	-1138.4012	90.020267	20154.374	0.51361561	7.3383143
7.2	776.91893	-1135.0469	86.666476	20252.75	0.53754965	7.649532
7.3	792.41977	-1136.7769	88.395619	20178.544	0.55876793	7.912006
7.4	801.99454	-1137.8448	89.463699	20034.714	0.57314349	8.1784707
7.5	797.08335	-1137.2971	88.915848	19748.6	0.5726088	8.4909449
7.6	776.9884	-1135.0551	86.674225	20047.971	0.57227301	8.7817661
7.7	779.58296	-1135.3441	86.963653	20029.669	0.56446086	9.0636394
7.8	784.44996	-1135.8871	87.506574	19825.28	0.55326521	9.3671336
7.9	801.27775	-1137.765	89.383739	20829.641	0.56070692	9.6797077
8.0	798.26217	-1137.428	89.047346	20448.812	0.56403691	9.9827668
8.1	797.5124	-1137.3455	88.963709	20356.256	0.54157025	10.249126
8.2	791.8817	-1136.7169	88.335595	19977.42	0.54465879	10.46133
8.3	793.95602	-1136.9481	88.566989	19935.257	0.54311194	10.756873
8.4	777.42838	-1135.1041	86.723306	20831.177	0.52211915	11.132855
8.5	800.13078	-1137.6361	89.255793	20726.755	0.49823228	11.479745
8.6	829.33165	-1140.894	92.513193	20072.521	0.47545396	11.818983
8.7	801.80397	-1137.8232	89.442439	20012.903	0.46340173	12.164026
8.8	788.62663	-1136.3536	87.972488	20636.051	0.46459615	12.384993
8.9	782.7706	-1135.7	87.319239	20468.013	0.46467573	12.628322
9.0	836.97898	-1141.7491	93.366265	19492.092	0.46102152	12.823938
9.1	790.24049	-1136.534	88.152516	20074.568	0.47519802	13.027821
9.2	787.66212	-1136.2457	87.864895	19862.292	0.50595494	13.347172
9.3	821.47344	-1140.0176	91.636599	19953.225	0.50843253	13.654373
9.4	779.07216	-1135.2868	86.906672	20265.182	0.51268345	13.944608
9.5	784.1034	-1135.8476	87.467914	20236.057	0.52490333	14.336298
9.6	807.70789	-1138.4821	90.101031	19422.548	0.54298628	14.77221
9.7	767.30233	-1133.9743	85.593729	19750.053	0.54522004	15.203569
9.8	793.30072	-1136.8751	88.493889	19249.248	0.53556306	15.48573
9.9	784.08072	-1135.8464	87.465384	19972.052	0.53628937	15.818883
10.0	798.76601	-1137.4845	89.103551	19396.214	0.53665931	16.176856
10.1	781.64523	-1135.5744	87.193702	19375.834	0.53708031	16.567453
10.2	778.47411	-1135.2215	86.839958	20287.0	0.53859651	16.839579
10.3	771.30388	-1134.4206	86.040109	19770.451	0.52494466	17.0574
10.4	791.13828	-1136.6327	88.252666	19942.751	0.51011531	17.326785
10.5	788.99916	-1136.394	88.014044	19692.372	0.50781273	17.742503
10.6	792.17979	-1136.749	88.368847	19079.203	0.52182625	18.14114
10.7	795.34249	-1137.1025	88.721651	19856.322	0.55644274	18.344158
10.8	809.8374	-1138.72	90.338581	20150.001	0.59492613	18.506455
10.9	790.33107	-1136.5439	88.16262	20134.073	0.59372722	18.721413
11.0	820.11789	-1139.8667	91.485385	19420.025	0.56363565	18.94101
