# Time   VAF(t)
0.000000  14.687327
0.098333  0.801681
0.196667  -0.097048
0.295000  0.101232
0.393333  -0.025566
0.491667  0.095742
0.590000  -0.034873
0.688333  0.025316
0.786667  -0.163947
0.885000  0.023835
0.983333  -0.022154
1.081667  -0.105401
1.180000  -0.267953
1.278333  -0.125114
1.376667  -0.124410
1.475000  -0.052836
1.573333  -0.013590
1.671667  -0.240008
1.770000  -0.091837
1.868333  -0.024656
1.966667  -0.022260
2.065000  0.029149
2.163333  0.158747
2.261667  -0.024891
2.360000  -0.000732
2.458333  -0.083682
2.556667  -0.067229
2.655000  0.055581
2.753333  0.086835
2.851667  0.014345
2.950000  -0.015775
3.048333  0.106069
3.146667  -0.082241
3.245000  -0.016521
3.343333  -0.072322
3.441667  -0.052112
3.540000  -0.195589
3.638333  -0.115155
3.736667  -0.072255
3.835000  -0.131734
3.933333  0.048919
4.031667  0.007800
4.130000  0.026592
4.228333  0.115407
4.326667  -0.022819
4.425000  -0.050760
4.523333  0.135470
4.621667  0.053948
4.720000  -0.113012
4.818333  0.000839
