# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.1	767.27245	-1139.5922	85.590396	19471.177	0.11875635	0.16027015
5.2	755.811	-1138.3139	84.311855	20522.051	0.27158827	0.54471654
5.3	782.67179	-1141.31	87.308216	19550.155	0.32467684	0.98119697
5.4	769.32455	-1139.8214	85.819311	20221.712	0.37092502	1.4193849
5.5	777.19378	-1140.6991	86.697136	19791.3	0.42147164	1.8086259
5.6	769.32546	-1139.8215	85.819413	20486.635	0.44997379	2.2344247
5.7	761.986	-1139.0028	85.000685	20383.768	0.46134098	2.6682578
5.8	792.39498	-1142.395	88.392853	18997.744	0.46670763	3.0815922
5.9	756.23189	-1138.3608	84.358805	19698.014	0.46897662	3.4958574
6.0	765.8456	-1139.4332	85.43123	19477.266	0.47385975	3.8581084
6.1	786.79314	-1141.7701	87.767959	19716.54	0.46878381	4.193536
6.2	760.17536	-1138.8003	84.798706	19725.658	0.46177759	4.4706165
6.3	752.33781	-1137.926	83.924415	19526.926	0.46508658	4.7014539
6.4	784.76898	-1141.5438	87.542161	19435.292	0.49138027	4.920698
6.5	762.09768	-1139.0148	85.013144	19665.059	0.49472366	5.2500711
6.6	757.21163	-1138.4699	84.468097	19632.485	0.49608221	5.5692601
6.7	771.82851	-1140.1005	86.098632	19192.861	0.50637824	5.8715901
6.8	789.35969	-1142.0564	88.054261	19402.782	0.50537186	6.2204173
6.9	785.29204	-1141.6026	87.600509	19569.411	0.50595074	6.6191312
7.0	759.56383	-1138.7323	84.730488	20012.377	0.53254483	6.9907609
7.1	757.22142	-1138.4711	84.469189	19907.999	0.55182757	7.3359397
7.2	751.46206	-1137.8285	83.826724	20262.953	0.55051855	7.6753398
7.3	771.49551	-1140.063	86.061486	19200.473	0.53892875	8.0375661
7.4	759.12355	-1138.6828	84.681375	19502.741	0.52927255	8.3858576
7.5	787.72025	-1141.873	87.871379	19123.478	0.52981909	8.6483077
7.6	759.99143	-1138.7796	84.778188	20058.032	0.52342787	8.9448921
7.7	776.14509	-1140.5817	86.580153	19415.961	0.48332416	9.1983274
7.8	792.73455	-1142.4324	88.430732	19687.42	0.46242299	9.3621731
7.9	772.527	-1140.1783	86.17655	19272.006	0.46460708	9.5418986
8.0	771.70268	-1140.0864	86.084596	19732.181	0.45674315	9.7630745
8.1	795.20206	-1142.7081	88.705987	19265.459	0.45585585	10.109459
8.2	787.75926	-1141.878	87.875732	19684.331	0.46475113	10.473238
8.3	757.72556	-1138.5272	84.525426	20077.23	0.46078482	10.783264
8.4	760.26066	-1138.8098	84.808221	20042.835	0.47870325	11.069678
8.5	781.24438	-1141.1508	87.148986	20223.218	0.49135327	11.428915
8.6	771.24678	-1140.0356	86.033739	19673.691	0.48232894	11.790092
8.7	746.85186	-1137.3143	83.312449	19114.017	0.49236239	11.975712
8.8	779.91425	-1141.0021	87.000608	18988.468	0.50229318	12.140879
8.9	746.10463	-1137.2305	83.229094	20271.453	0.51510441	12.393451
9.0	767.80612	-1139.6518	85.649928	18829.403	0.52129783	12.63831
9.1	738.97598	-1136.4358	82.433883	18747.568	0.5217821	12.875677
9.2	747.15991	-1137.3486	83.346812	19334.342	0.50185874	13.120134
9.3	764.91909	-1139.3296	85.327875	19404.295	0.4889181	13.293638
9.4	752.61005	-1137.9563	83.954784	18952.544	0.47871214	13.439115
9.5	747.95662	-1137.4373	83.435687	19390.708	0.48499385	13.589728
9.6	744.63355	-1137.0667	83.064993	20059.05	0.49321969	13.811678
9.7	744.68043	-1137.0722	83.070223	20317.25	0.49049795	14.036865
9.8	781.82135	-1141.2152	87.213348	18834.26	0.48188244	14.254978
9.9	760.33005	-1138.8176	84.815961	18988.813	0.47482453	14.426381
10.0	760.47945	-1138.8344	84.832628	19233.706	0.45574455	14.618803
10.1	798.7051	-1143.0988	89.096756	18497.749	0.44099065	14.889303
10.2	760.20865	-1138.8043	84.802419	18783.475	0.45596542	15.170056
10.3	763.13216	-1139.1304	85.128542	19145.891	0.45047306	15.401535
10.4	763.22347	-1139.141	85.138727	19476.818	0.46458295	15.624685
10.5	789.11939	-1142.0295	88.027456	19265.627	0.47361904	15.773606
10.6	767.90787	-1139.663	85.661279	19866.465	0.48736129	15.924297
10.7	759.2332	-1138.6956	84.693606	20093.778	0.50149502	16.021605
10.8	769.48891	-1139.8397	85.837646	19953.364	0.50380586	16.20321
10.9	750.06143	-1137.6725	83.670482	19571.049	0.50901878	16.488008
11.0	746.39031	-1137.2627	83.260963	19711.836	0.50520095	16.860096
