# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.1	98.25225	-1222.4269	10.960186	10130.441	0.014844325	0.022498791
5.2	100.87956	-1222.7202	11.253267	10313.365	0.035244656	0.074399952
5.3	101.21075	-1222.7572	11.290211	10540.357	0.042547191	0.13098495
5.4	106.28845	-1223.3238	11.856637	10636.063	0.047306756	0.178257
5.5	106.69284	-1223.369	11.901747	10643.917	0.053962497	0.21265714
5.6	103.55124	-1223.0187	11.551296	10677.957	0.060030795	0.23849566
5.7	108.80704	-1223.6051	12.137589	10761.24	0.064571224	0.26094391
5.8	111.19767	-1223.872	12.404268	10803.198	0.070560523	0.28005118
5.9	113.27981	-1224.1045	12.636533	10696.457	0.080528762	0.3128552
6.0	113.62937	-1224.1435	12.675527	10896.974	0.089248113	0.36586922
6.1	111.39643	-1223.8943	12.426439	11034.429	0.095806937	0.41562723
6.2	116.45567	-1224.4588	12.990805	11009.93	0.10414082	0.45149236
6.3	114.69812	-1224.263	12.794748	11115.912	0.1162842	0.48662333
6.4	118.17872	-1224.6514	13.183014	11144.597	0.12636787	0.51717763
6.5	122.47162	-1225.1304	13.661893	11255.539	0.13165283	0.55583726
6.6	119.14538	-1224.7593	13.290846	11212.34	0.1331564	0.60530496
6.7	118.38957	-1224.6752	13.206535	11081.326	0.14003321	0.64196829
6.8	122.94338	-1225.1832	13.714519	11210.379	0.14770709	0.67264704
6.9	123.50739	-1225.2461	13.777436	11352.804	0.15474337	0.69598516
7.0	126.21247	-1225.5481	14.079192	11604.704	0.15978298	0.71360228
7.1	125.33734	-1225.4504	13.981569	11706.356	0.16352906	0.72831076
7.2	127.56222	-1225.6988	14.229758	11426.703	0.16780474	0.74751244
7.3	127.2766	-1225.6669	14.197897	11571.17	0.17544707	0.77247232
7.4	126.80285	-1225.6141	14.145049	11587.487	0.18263229	0.80219451
7.5	128.15493	-1225.765	14.295875	11336.472	0.19042197	0.82570787
7.6	127.4489	-1225.6863	14.217116	11550.86	0.19782873	0.83738238
7.7	126.82056	-1225.616	14.147024	11664.113	0.20080709	0.85273088
7.8	128.27521	-1225.7783	14.309293	11613.508	0.20616624	0.87815423
7.9	133.2022	-1226.3281	14.858905	11820.052	0.21189872	0.9065774
8.0	134.06267	-1226.424	14.954893	11825.562	0.21870861	0.93074027
8.1	131.61167	-1226.1507	14.681479	11883.607	0.22445101	0.95813554
8.2	128.7458	-1225.831	14.361788	11926.524	0.22869152	0.98502072
8.3	130.99555	-1226.0819	14.612751	11559.652	0.23041416	1.0081373
8.4	136.06097	-1226.6472	15.177806	11953.904	0.23123029	1.0305193
8.5	132.75524	-1226.2784	14.809047	11942.573	0.23312565	1.0500154
8.6	133.69549	-1226.3834	14.913933	11541.704	0.23390722	1.0676189
8.7	133.35623	-1226.3454	14.876088	11651.113	0.23563297	1.0705238
8.8	136.25435	-1226.6691	15.199378	11997.132	0.23527706	1.0672503
8.9	135.75485	-1226.6133	15.143658	12141.6	0.22981251	1.0685788
9.0	136.05287	-1226.6464	15.176902	11818.679	0.22756266	1.0715819
9.1	136.53175	-1226.6997	15.230322	11739.572	0.23435808	1.0783922
9.2	138.37737	-1226.9057	15.436204	12077.796	0.24034551	1.1066502
9.3	133.49871	-1226.3616	14.891982	11887.488	0.24260615	1.1357441
9.4	135.99044	-1226.6397	15.169939	11935.456	0.2478889	1.1455274
9.5	140.78568	-1227.1746	15.704854	12111.095	0.25628977	1.1444165
9.6	131.81751	-1226.174	14.704441	11975.273	0.26038	1.1433457
9.7	136.72459	-1226.7216	15.251834	12165.482	0.26267055	1.1392608
9.8	141.65449	-1227.2716	15.801772	12235.883	0.27055602	1.1435568
9.9	134.06459	-1226.4248	14.955107	12099.424	0.27487729	1.1639159
10.0	138.06805	-1226.8714	15.401699	12308.413	0.26937191	1.1873565
10.1	136.87253	-1226.738	15.268337	12370.663	0.26659768	1.188875
10.2	140.95762	-1227.1939	15.724035	12128.695	0.26803452	1.1733568
10.3	139.98129	-1227.0849	15.615124	12049.818	0.27275115	1.1548702
10.4	136.72601	-1226.7217	15.251992	12198.649	0.26823839	1.1457393
10.5	136.56977	-1226.7042	15.234564	12391.475	0.26121779	1.1376371
10.6	142.00157	-1227.3103	15.840489	12244.51	0.25404555	1.1384973
10.7	136.9839	-1226.7504	15.28076	12127.211	0.24821613	1.1496141
10.8	139.04223	-1226.9799	15.51037	11967.896	0.24223305	1.1615492
10.9	136.131	-1226.655	15.185618	11911.06	0.24106035	1.1618048
11.0	144.79038	-1227.6211	16.151585	11776.183	0.2450284	1.1453807
