# Time   VAF(t)
0.000000  5.485470
0.098333  0.337476
0.196667  0.009394
0.295000  -0.016168
0.393333  -0.017744
0.491667  -0.016133
0.590000  -0.016737
0.688333  -0.078023
0.786667  -0.101466
0.885000  -0.006232
0.983333  -0.057795
1.081667  0.010254
1.180000  0.033484
1.278333  -0.027045
1.376667  -0.004401
1.475000  0.007104
1.573333  0.002311
1.671667  -0.069602
1.770000  -0.033951
1.868333  0.025180
1.966667  -0.005988
2.065000  0.028310
2.163333  0.000716
2.261667  0.005602
2.360000  0.012635
2.458333  -0.070338
2.556667  -0.020900
2.655000  0.048025
2.753333  0.015800
2.851667  0.025708
2.950000  -0.014755
3.048333  -0.029354
3.146667  0.027126
3.245000  0.013807
3.343333  -0.010082
3.441667  -0.028546
3.540000  -0.004076
3.638333  0.009759
3.736667  0.076826
3.835000  0.098339
3.933333  0.006015
4.031667  -0.036655
4.130000  0.041113
4.228333  0.006392
4.326667  0.025985
4.425000  0.032471
4.523333  -0.013714
4.621667  -0.036199
4.720000  -0.053597
4.818333  -0.022945
