# Time   VAF(t)
0.000000  5.668880
0.098333  0.483207
0.196667  0.002283
0.295000  0.018647
0.393333  -0.010942
0.491667  -0.001767
0.590000  -0.033252
0.688333  0.042549
0.786667  -0.008802
0.885000  -0.003214
0.983333  -0.065088
1.081667  -0.044344
1.180000  -0.038013
1.278333  -0.031835
1.376667  -0.037094
1.475000  0.023732
1.573333  -0.031224
1.671667  -0.046354
1.770000  -0.001350
1.868333  -0.011120
1.966667  -0.043105
2.065000  0.014488
2.163333  0.008750
2.261667  0.017963
2.360000  -0.014816
2.458333  -0.015682
2.556667  -0.011710
2.655000  -0.020015
2.753333  -0.036738
2.851667  0.028658
2.950000  0.016039
3.048333  -0.017311
3.146667  0.040237
3.245000  0.058593
3.343333  -0.017949
3.441667  0.094716
3.540000  -0.073445
3.638333  0.018495
3.736667  -0.017004
3.835000  -0.004175
3.933333  0.046932
4.031667  -0.050202
4.130000  0.007916
4.228333  0.069031
4.326667  0.061440
4.425000  0.089226
4.523333  0.002829
4.621667  -0.025218
4.720000  -0.022118
4.818333  0.011400
