# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.1	532.2255	-1165.258	59.370555	16843.872	0.082924745	0.11327893
5.2	565.94144	-1167.7308	63.131619	16708.554	0.19213445	0.37105305
5.3	555.92386	-1165.4791	62.014143	17345.081	0.25072077	0.6746236
5.4	553.72059	-1163.5771	61.768365	17192.371	0.28228572	0.95552521
5.5	561.52846	-1162.1436	62.639344	17129.164	0.29079654	1.1878239
5.6	578.02672	-1162.4275	64.47975	17424.162	0.2894669	1.3817432
5.7	569.32775	-1161.3765	63.509368	17772.17	0.30374554	1.5602403
5.8	569.43755	-1162.2531	63.521616	17456.516	0.31310696	1.7570137
5.9	560.23187	-1162.7313	62.494709	16717.313	0.31943566	1.9742915
6.0	541.60624	-1161.5001	60.416992	16677.673	0.32155951	2.2205789
6.1	551.68133	-1162.4833	61.540883	16772.694	0.32991455	2.4307927
6.2	549.80618	-1162.1656	61.331707	17283.479	0.34752354	2.6025773
6.3	564.50997	-1164.3338	62.971937	16957.617	0.35739706	2.7253782
6.4	539.6039	-1162.5529	60.193627	17586.453	0.37440816	2.851489
6.5	545.3972	-1164.0316	60.839878	17446.457	0.37504512	3.0097495
6.6	549.60721	-1165.5327	61.309512	16774.324	0.36239223	3.1810289
6.7	529.24173	-1164.1251	59.037712	17231.384	0.35658854	3.3372018
6.8	544.5844	-1166.1104	60.74921	17083.855	0.34407225	3.4859143
6.9	517.90477	-1163.1028	57.773057	17135.185	0.34240574	3.6610468
7.0	570.09891	-1166.979	63.595392	16104.883	0.34812991	3.8142281
7.1	558.11805	-1163.5764	62.258909	16992.324	0.36124069	3.9637527
7.2	583.37031	-1165.5474	65.075836	17404.817	0.37038979	4.1470553
7.3	552.15761	-1162.7863	61.594012	17045.641	0.38738502	4.3625924
7.4	533.41109	-1161.6229	59.50281	17152.888	0.41976789	4.543574
7.5	557.86882	-1164.7933	62.231106	16825.918	0.41438203	4.7328042
7.6	562.20785	-1166.0515	62.715132	16837.947	0.39115506	4.8994284
7.7	537.37322	-1165.7199	59.944792	16891.13	0.36896035	5.042829
7.8	546.77194	-1169.3036	60.993233	16374.267	0.361758	5.1392276
7.9	529.3534	-1168.286	59.050168	17179.469	0.37007499	5.2618528
8.0	510.76017	-1165.6928	56.976065	17052.822	0.35893207	5.4428538
8.1	534.7912	-1166.5258	59.656764	16535.268	0.34450986	5.636357
8.2	556.00723	-1167.0767	62.023443	16300.18	0.33534372	5.7548702
8.3	552.27321	-1165.5929	61.606908	16685.421	0.33038928	5.8070434
8.4	545.29713	-1164.2731	60.828715	16657.949	0.33480557	5.9004469
8.5	541.82572	-1163.2525	60.441475	16869.449	0.33901229	6.0567148
8.6	563.21543	-1164.5573	62.827529	16791.399	0.33827557	6.2612436
8.7	544.40768	-1161.7402	60.729497	16772.788	0.34839529	6.4726495
8.8	546.30365	-1161.1818	60.940995	17127.586	0.35858649	6.6881948
8.9	575.88712	-1163.2797	64.241075	17181.37	0.36367365	6.8980959
9.0	586.35276	-1163.8359	65.408533	16959.768	0.37347803	7.1549845
9.1	560.95964	-1162.4059	62.575892	17374.995	0.39424404	7.4016193
9.2	560.5388	-1164.8604	62.528946	17339.608	0.40544752	7.6726543
9.3	533.9403	-1163.603	59.561844	17269.752	0.40919687	7.8444093
9.4	552.97557	-1166.2965	61.685258	17015.486	0.40384392	7.9435601
9.5	555.73787	-1167.1412	61.993395	16318.921	0.39923391	8.0870296
9.6	504.12189	-1161.7674	56.235555	16721.386	0.40482566	8.3240012
9.7	528.47145	-1163.0315	58.951786	17026.929	0.40705401	8.5489857
9.8	567.88428	-1164.9698	63.348346	16443.866	0.41005604	8.7654918
9.9	573.38293	-1164.7298	63.961729	16701.018	0.41109336	9.0418825
10.0	562.17897	-1163.8892	62.71191	16409.758	0.3943215	9.3285884
10.1	566.54319	-1165.0337	63.198745	16293.406	0.38468538	9.4834679
10.2	550.56779	-1164.4448	61.416665	16596.845	0.38261292	9.5631006
10.3	531.82701	-1163.5666	59.326103	16832.227	0.38794258	9.6443982
10.4	543.62823	-1165.0842	60.642548	16582.73	0.38827275	9.8147077
10.5	544.82502	-1164.8218	60.776052	16404.936	0.38272365	10.013579
10.6	552.55513	-1164.8386	61.638357	16403.967	0.37875295	10.205624
10.7	565.29469	-1164.1342	63.059473	16051.979	0.37269316	10.348018
10.8	579.0912	-1162.9523	64.598495	16107.274	0.36391353	10.492603
10.9	545.91028	-1158.409	60.897114	17387.079	0.38214428	10.619144
11.0	565.33426	-1160.2849	63.063888	16659.369	0.39760295	10.72966
11.1	586.91116	-1163.1342	65.470824	16707.901	0.40660708	10.884027
11.2	542.79868	-1159.8945	60.55001	16928.092	0.42550242	11.083023
11.3	565.51846	-1163.8302	63.084435	16421.772	0.43390872	11.30048
11.4	532.66166	-1161.0926	59.41921	17102.828	0.43092631	11.49707
11.5	550.80317	-1162.9677	61.442923	16581.776	0.43199439	11.6407
11.6	551.91764	-1163.0191	61.567243	16700.878	0.44336453	11.749091
11.7	547.88265	-1162.618	61.117134	16284.521	0.43109673	11.842244
11.8	543.04162	-1161.9183	60.57711	16122.59	0.40335087	11.942184
11.9	551.40574	-1162.1461	61.51014	16565.844	0.39418138	12.023298
12.0	570.91459	-1162.9683	63.686382	16763.465	0.40226935	12.187388
12.1	586.21009	-1163.5236	65.392618	16706.481	0.41061937	12.397955
12.2	565.62411	-1161.1674	63.096221	16693.726	0.42346931	12.591872
12.3	549.8681	-1160.4095	61.338614	16739.388	0.42806888	12.8799
12.4	546.80692	-1162.1204	60.997135	16419.965	0.41914671	13.150379
12.5	530.53171	-1162.1207	59.181611	17025.586	0.41742044	13.282996
12.6	557.94238	-1165.9751	62.239312	16416.847	0.40363116	13.410862
12.7	554.12137	-1166.3406	61.813073	16332.713	0.39867585	13.605582
12.8	548.23834	-1166.4041	61.156812	17152.697	0.40122005	13.829047
12.9	532.40432	-1165.4293	59.390503	16662.549	0.40447916	14.123115
13.0	538.8197	-1166.5743	60.106149	16095.115	0.41543529	14.527054
13.1	523.78247	-1164.3753	58.428722	16946.147	0.4363147	14.97508
13.2	531.35443	-1162.512	59.273386	16758.888	0.44098836	15.274595
13.3	554.98843	-1162.5111	61.909795	16875.878	0.43461225	15.425072
13.4	559.72404	-1161.8936	62.43806	16355.025	0.44864151	15.504832
13.5	557.51538	-1161.2689	62.19168	17038.825	0.45194483	15.665448
13.6	568.04144	-1162.7966	63.365877	16774.924	0.44314671	15.893904
13.7	553.82468	-1162.7217	61.779977	16900.697	0.44584143	16.066011
13.8	543.65116	-1163.0668	60.645105	17072.12	0.43609661	16.131911
13.9	545.45152	-1164.097	60.845938	16612.809	0.43012991	16.211221
14.0	547.15376	-1164.6969	61.035826	16972.773	0.43211282	16.274007
14.1	536.91337	-1163.4974	59.893495	17257.467	0.43006673	16.328791
14.2	530.81073	-1161.5497	59.212735	16549.545	0.42729554	16.42205
14.3	573.65713	-1163.2596	63.992317	16517.344	0.41702694	16.571534
14.4	564.0301	-1160.9446	62.918407	17283.65	0.41588238	16.792434
14.5	552.19692	-1159.7224	61.598397	17557.304	0.41970257	16.998673
