# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.1	304.9104	-1198.649	34.013214	13558.88	0.047226079	0.0659104
5.4	290.49941	-1199.1021	32.405646	13318.899	0.12154323	0.50772821
5.7	291.2059	-1198.8406	32.484457	13667.215	0.13174635	0.70227251
6.0	290.71641	-1197.4812	32.429853	13669.92	0.12626074	0.82861403
6.3	296.56825	-1197.9872	33.082635	14062.01	0.15869489	0.96571058
6.6	293.92231	-1199.0635	32.787476	13834.162	0.1663598	1.0947068
6.9	279.6771	-1199.1595	31.198401	13882.975	0.17140424	1.176056
7.2	296.31988	-1199.5101	33.054928	14010.822	0.16216512	1.282049
7.5	319.81902	-1199.122	35.676293	13816.013	0.1710439	1.4014476
7.8	291.62686	-1197.7811	32.531415	14185.878	0.17720233	1.4929918
8.1	294.25366	-1198.8984	32.824439	13732.757	0.18764754	1.5436196
8.4	279.14555	-1199.3608	31.139106	13674.268	0.17733481	1.6802365
8.7	292.57181	-1201.8219	32.636826	13783.169	0.18491373	1.7927579
9.0	291.559	-1200.8661	32.523846	13273.777	0.18369969	1.8603004
9.3	301.82559	-1200.619	33.669099	13687.395	0.19587445	1.8941957
9.6	287.54527	-1200.0785	32.076108	14285.027	0.20979386	1.9378164
9.9	289.72699	-1201.3152	32.319482	13757.582	0.21250078	2.0708794
10.2	286.38172	-1200.6177	31.946312	14173.551	0.22332525	2.2412144
10.5	296.66143	-1200.6581	33.093029	14475.469	0.24337892	2.3854717
10.8	282.16041	-1201.3532	31.475419	14156.203	0.26045658	2.507619
11.1	293.51822	-1203.3191	32.742399	14685.656	0.27005205	2.6500159
11.4	286.27634	-1204.0393	31.934557	14279.134	0.28962407	2.7178376
11.7	296.79482	-1203.0534	33.107909	14219.1	0.2886495	2.693387
12.0	294.13373	-1202.0571	32.81106	14502.455	0.28822992	2.694951
12.3	285.68818	-1203.6089	31.868947	14311.102	0.28834587	2.8003426
12.6	290.39858	-1203.5889	32.394399	13950.09	0.28109963	2.9906889
12.9	293.90028	-1202.4475	32.785018	13805.333	0.27858264	3.0352436
13.2	293.04423	-1202.9667	32.689525	14459.804	0.28215042	3.113325
13.5	278.37515	-1204.7416	31.053166	14427.586	0.28461324	3.1595663
13.8	288.5221	-1203.9565	32.185074	14645.294	0.30116986	3.2344789
14.1	293.10326	-1203.4918	32.696109	14489.63	0.31593822	3.2775513
14.4	283.04961	-1204.9243	31.57461	13958.209	0.31157794	3.3624996
14.7	277.69076	-1204.1846	30.976822	14354.797	0.33054163	3.5501374
15.0	286.15742	-1203.2736	31.921291	14314.467	0.33183688	3.6975351
15.3	296.75611	-1203.6448	33.10359	14212.173	0.32438633	3.7468898
15.6	300.28681	-1204.5273	33.497446	14328.522	0.32375178	3.7965936
15.9	301.64436	-1204.7075	33.648883	14321.379	0.30098885	3.9138286
16.2	286.38897	-1206.0573	31.94712	14438.752	0.31686983	4.0114716
16.5	293.92983	-1207.368	32.788315	14369.128	0.33857709	4.1090051
16.8	292.82138	-1205.1305	32.664665	14336.221	0.39915769	4.1268698
17.1	288.39828	-1204.3089	32.171263	14535.0	0.42080061	4.1571949
17.4	291.57543	-1205.4278	32.525678	14654.086	0.41776477	4.2656885
17.7	286.78987	-1207.0623	31.991841	14355.388	0.39923027	4.3853555
18.0	272.44618	-1206.8964	30.391782	14403.073	0.40085785	4.3610133
18.3	292.85549	-1206.6399	32.668471	14516.509	0.42464095	4.4290541
18.6	308.70708	-1207.1887	34.43674	14630.865	0.4214032	4.481698
18.9	283.34868	-1206.9489	31.607972	14681.687	0.4221325	4.6238457
19.2	298.22028	-1208.5163	33.266921	14134.593	0.42455213	4.7822474
19.5	297.63928	-1206.6269	33.20211	15023.579	0.48355004	4.8568452
19.8	302.40949	-1206.9733	33.734234	15240.468	0.51729549	4.9662116
20.1	293.746	-1207.9773	32.767809	15019.316	0.57384201	4.9919161
20.4	293.16155	-1209.0192	32.702612	15048.905	0.59073571	5.1883188
20.7	287.90394	-1208.6748	32.116118	14748.79	0.60311844	5.344463
21.0	293.36347	-1209.2273	32.725137	14855.702	0.60724142	5.4235242
21.3	297.98258	-1208.8723	33.240405	15149.269	0.66404234	5.3428859
21.6	315.46593	-1209.5239	35.190699	15215.857	0.70264013	5.3835084
21.9	289.18633	-1209.0035	32.25917	15163.687	0.7284482	5.5829973
22.2	287.0272	-1210.7815	32.018316	15245.8	0.73657129	5.6242473
22.5	292.54898	-1211.2996	32.634279	14919.836	0.72090161	5.7048004
22.8	291.30633	-1209.8437	32.49566	14833.385	0.71002437	5.863927
23.1	310.30437	-1210.9997	34.61492	15435.175	0.73615639	5.8571424
23.4	281.61722	-1210.7349	31.414825	15279.33	0.80121847	6.0281392
23.7	296.72858	-1213.141	33.10052	15390.588	0.87843419	6.0325258
24.0	297.38458	-1214.2563	33.173697	15011.576	0.97096477	6.1919204
24.3	289.46339	-1212.8854	32.290077	15201.382	1.052255	6.3179264
24.6	294.05213	-1211.2247	32.801958	15510.667	1.1095457	6.3508037
