# 	 t (ps)	 T (K)	E (eV)	K (eV)	P (Bar)	MSD_I(Å²)	MSD_Ag(Å²)
5.1	514.38923	-1167.6081	57.380892	16122.424	0.080865981	0.10608283
5.2	490.23218	-1166.0361	54.686138	16313.934	0.18936555	0.3495667
5.3	512.10039	-1170.1935	57.125569	15821.941	0.22559624	0.62087342
5.4	485.68473	-1169.2699	54.178862	16240.657	0.24583447	0.89900524
5.5	484.35183	-1169.773	54.030175	15869.028	0.2550112	1.1415564
5.6	482.55765	-1169.2482	53.830032	15840.361	0.25463517	1.3403887
5.7	500.68247	-1170.5996	55.851884	16115.632	0.25656969	1.4918158
5.8	499.60061	-1169.9145	55.7312	16256.898	0.25228853	1.6186705
5.9	501.85197	-1169.6283	55.982343	16322.615	0.25057255	1.7428001
6.0	494.77518	-1168.422	55.192916	15846.065	0.25597246	1.8924771
6.1	506.50795	-1168.8358	56.501724	16071.057	0.26659708	2.0584467
6.2	518.74303	-1168.6405	57.866566	16687.118	0.27441317	2.2305252
6.3	521.61429	-1167.2325	58.186859	16942.644	0.27871311	2.4118197
6.4	534.26094	-1168.0659	59.597612	16191.933	0.28391506	2.6256994
6.5	515.12555	-1167.3289	57.46303	16041.31	0.29189554	2.8426641
6.6	508.86234	-1169.3315	56.76436	15234.716	0.29686619	3.0065041
6.7	506.70728	-1170.7166	56.52396	15564.931	0.3032371	3.1469121
6.8	483.30374	-1168.6588	53.913259	16151.638	0.31124782	3.2882616
6.9	503.69113	-1170.9527	56.187504	15990.63	0.32432081	3.4391785
7.0	484.45375	-1168.8326	54.041545	16260.861	0.33389269	3.575737
7.1	489.06429	-1168.566	54.555858	16511.523	0.3282637	3.7194267
7.2	511.02502	-1169.5477	57.005611	15911.88	0.32114793	3.8739962
7.3	518.36166	-1169.2721	57.824024	16100.915	0.32214945	4.0198039
7.4	487.08977	-1165.3896	54.335597	16861.225	0.32462838	4.1910763
7.5	531.74001	-1169.7958	59.316398	16144.869	0.31469865	4.3474503
7.6	498.24784	-1166.9201	55.580296	16695.498	0.32305654	4.4667912
7.7	501.01325	-1169.2568	55.888782	16504.815	0.33000928	4.5381205
7.8	489.80948	-1170.0714	54.638985	16590.769	0.33931106	4.6285943
7.9	494.64657	-1171.5834	55.178569	16168.435	0.34931395	4.7477843
8.0	492.48453	-1171.6881	54.937391	15998.749	0.34423305	4.9046475
8.1	489.56469	-1171.1907	54.611678	15903.753	0.34236259	5.0693848
8.2	500.90623	-1171.7814	55.876844	15847.45	0.35051063	5.1856756
8.3	494.21622	-1170.1846	55.130563	16183.612	0.35309908	5.2602943
8.4	499.0033	-1169.1143	55.664569	16637.671	0.35784202	5.3759905
8.5	536.34303	-1170.7928	59.829872	16507.178	0.35923539	5.5251925
8.6	501.19019	-1165.9369	55.90852	16804.526	0.36798054	5.6418714
8.7	523.49221	-1168.5762	58.396344	16688.426	0.36518524	5.7135211
8.8	513.62145	-1168.2395	57.295245	16533.072	0.35287449	5.777652
8.9	504.66321	-1168.1623	56.29594	15929.414	0.33094268	5.897571
9.0	518.18069	-1170.4685	57.803836	16001.124	0.32112002	6.0423872
9.1	496.00841	-1168.9895	55.330485	16445.648	0.32564623	6.1609821
9.2	484.79917	-1168.3456	54.080078	16498.512	0.32020665	6.2669478
9.3	513.6215	-1171.7663	57.295251	15792.947	0.32282883	6.3827278
9.4	486.80726	-1169.4618	54.304083	16104.365	0.33875406	6.5066247
9.5	499.29338	-1171.4076	55.696928	16069.029	0.33329263	6.6043445
9.6	493.21942	-1171.6182	55.019369	15486.994	0.33139374	6.7344135
9.7	457.7326	-1168.6571	51.060761	15370.09	0.33572989	6.8666271
9.8	506.61149	-1173.9249	56.513274	15557.58	0.33023031	6.9852362
9.9	492.35581	-1171.9142	54.923032	15831.021	0.34577197	7.0665036
10.0	496.4714	-1171.1737	55.382132	15591.686	0.36068715	7.1451843
10.1	498.44287	-1169.7011	55.602052	15566.92	0.36977885	7.2618907
10.2	506.54882	-1169.1075	56.506283	15983.474	0.37627369	7.4144501
10.3	519.6602	-1169.4879	57.968877	16403.331	0.3652142	7.5861536
10.4	485.9805	-1165.4201	54.211856	16357.007	0.3589957	7.8013417
10.5	529.28005	-1170.0879	59.041986	15665.964	0.35277016	7.9961238
10.6	517.27448	-1169.6988	57.702747	16869.836	0.36491833	8.1483717
10.7	495.11336	-1169.0408	55.23064	16517.544	0.37426836	8.2977121
10.8	492.52775	-1169.8437	54.942212	16099.591	0.37387755	8.4646451
10.9	492.33744	-1169.8715	54.920982	15910.369	0.37511219	8.6207191
11.0	501.0976	-1170.5757	55.898192	15588.007	0.369343	8.7859385
11.1	517.17448	-1172.2311	57.691591	15978.643	0.36966139	9.0224072
11.2	493.75885	-1170.0105	55.079543	16742.025	0.37830771	9.2910362
11.3	484.07856	-1169.2546	53.999692	16429.951	0.39192074	9.514203
11.4	490.05466	-1169.546	54.666335	16264.283	0.40039788	9.7001468
11.5	502.34813	-1169.4137	56.03769	16078.271	0.39671305	9.7739196
11.6	511.26849	-1168.5952	57.03277	15852.033	0.40182502	9.818433
11.7	516.07386	-1168.2552	57.568815	16382.232	0.40980971	9.8941019
11.8	505.46238	-1166.885	56.385089	16726.001	0.41153953	9.9453187
11.9	506.43975	-1167.0615	56.494117	16770.088	0.40764849	9.9333428
12.0	492.4324	-1166.4924	54.931575	16782.691	0.41282268	9.9842911
12.1	499.0424	-1169.6207	55.668931	15901.463	0.40658425	10.087429
12.2	493.03823	-1170.8534	54.999156	16309.4	0.39145471	10.228781
12.3	490.8014	-1171.258	54.749635	16086.266	0.37935156	10.398945
12.4	491.97466	-1171.4436	54.880514	15438.178	0.37363872	10.530489
12.5	476.96154	-1169.231	53.205778	16138.914	0.36905064	10.631689
12.6	501.89346	-1170.3756	55.986971	16308.189	0.36743728	10.710563
12.7	528.89035	-1171.8022	58.998514	16087.816	0.37273733	10.752707
12.8	506.05394	-1169.1284	56.451079	15617.265	0.3845345	10.907114
12.9	491.78872	-1167.9284	54.859772	15807.22	0.40919227	11.066299
13.0	495.59776	-1168.2628	55.284676	16671.797	0.43169302	11.224308
13.1	506.66548	-1169.2425	56.519297	16481.558	0.43765094	11.393388
13.2	504.39944	-1169.0093	56.266517	16316.946	0.43148391	11.521984
13.3	506.69282	-1169.4669	56.522347	16226.225	0.42553522	11.700722
13.4	506.82272	-1169.9722	56.536837	16149.426	0.42727906	11.891255
13.5	497.19426	-1169.8333	55.462768	16219.948	0.44319284	12.016544
13.6	485.71112	-1170.5332	54.181806	16151.384	0.44184239	12.133373
13.7	472.65453	-1171.7902	52.725324	16160.225	0.41798359	12.308706
13.8	485.94462	-1174.0676	54.207854	16173.868	0.40060812	12.393186
13.9	469.93359	-1172.0581	52.421799	15888.564	0.39697724	12.442987
14.0	466.44445	-1170.4833	52.032581	16484.44	0.39073884	12.555382
14.1	477.53228	-1169.8713	53.269444	16414.505	0.39239962	12.734015
14.2	501.77394	-1171.1236	55.973639	15888.787	0.38336907	12.866316
14.3	515.7049	-1172.0403	57.527657	16065.481	0.37568697	12.922584
14.4	502.25571	-1170.5527	56.02738	16188.256	0.38451695	12.983166
14.5	487.61191	-1168.9573	54.393842	16576.389	0.37611655	13.073797
14.6	484.30262	-1168.3924	54.024686	16608.965	0.37380806	13.176031
14.7	511.23997	-1170.7436	57.029588	16298.384	0.37742449	13.252455
14.8	513.88912	-1170.3024	57.325105	16655.55	0.3809794	13.347823
14.9	511.95714	-1169.631	57.10959	16257.178	0.3819917	13.519137
15.0	493.07299	-1167.7172	55.003034	17132.85	0.39913442	13.721121
15.1	520.25511	-1171.4155	58.03524	16497.279	0.39689465	13.825646
15.2	485.30946	-1168.733	54.137001	16654.22	0.39389619	13.943012
15.3	490.83651	-1170.3851	54.753552	16416.72	0.38851523	14.114225
15.4	493.43074	-1171.7277	55.042941	16412.467	0.3794944	14.292815
15.5	482.6341	-1171.2287	53.83856	16687.042	0.377289	14.467524
15.6	492.67418	-1172.4715	54.958546	16422.373	0.38017269	14.706199
15.7	510.72391	-1174.322	56.972021	16321.308	0.38495221	14.929772
15.8	484.53902	-1170.9886	54.051057	16432.671	0.39542943	15.09752
15.9	489.47867	-1170.2023	54.602082	16781.107	0.41718566	15.256755
16.0	510.23336	-1170.5926	56.9173	16852.537	0.44618724	15.392861
16.1	524.41967	-1171.0665	58.499804	16352.994	0.46379917	15.517362
16.2	505.29631	-1168.8831	56.366564	16167.394	0.47424027	15.683958
16.3	506.46259	-1169.1784	56.496664	16569.389	0.46049816	15.89021
16.4	489.29047	-1167.8947	54.581089	16567.083	0.44386668	16.114006
16.5	486.4522	-1168.4536	54.264475	15674.837	0.446055	16.34927
16.6	500.68991	-1171.1911	55.852713	16197.513	0.46073061	16.568604
16.7	474.51651	-1169.6837	52.933031	16989.166	0.47287283	16.653603
16.8	491.13648	-1172.0339	54.787013	16036.961	0.46488326	16.668931
16.9	479.58109	-1170.86	53.497993	16308.38	0.47234349	16.701235
17.0	518.69091	-1174.2229	57.860751	16499.356	0.47167832	16.746185
17.1	499.68076	-1170.6227	55.740141	17642.431	0.48051683	16.867237
17.2	516.59809	-1171.3873	57.627295	17091.307	0.48266068	17.082326
17.3	512.37953	-1170.7954	57.156708	16185.604	0.47182029	17.339675
