# a    c    total energy
6.0425 23.043631348665723 -387.05337982
6.0425 23.053631348665723 -387.05344397
6.0425 23.063631348665723 -387.05350929
6.0425 23.073631348665723 -387.05357460
6.0425 23.083631348665723 -387.05365220
6.0425 23.093631348665723 -387.05373524
6.0425 23.103631348665723 -387.05380428
6.0425 23.113631348665723 -387.05386029
6.0425 23.123631348665723 -387.05393452
6.0425 23.133631348665723 -387.05400174
6.0425 23.143631348665723 -387.05406353
6.0425 23.153631348665723 -387.05413873
6.0425 23.163631348665723 -387.05419208
6.0425 23.173631348665723 -387.05427793
6.0425 23.183631348665723 -387.05434291
6.0425 23.193631348665723 -387.05440133
6.0425 23.203631348665723 -387.05445259
6.0425 23.213631348665723 -387.05450333
6.0425 23.223631348665723 -387.05456668
6.0425 23.233631348665723 -387.05462235
6.0425 23.243631348665723 -387.05469711
6.0425 23.253631348665723 -387.05474577
6.0425 23.263631348665723 -387.05480645
6.0425 23.273631348665723 -387.05486956
6.0425 23.283631348665723 -387.05492817
6.0425 23.293631348665723 -387.05497500
6.0425 23.303631348665723 -387.05502445
6.0425 23.313631348665723 -387.05507028
6.0425 23.323631348665723 -387.05512490
6.0425 23.333631348665723 -387.05517556
6.0425 23.343631348665723 -387.05522315
6.0425 23.353631348665723 -387.05527488
6.0425 23.363631348665723 -387.05533327
6.0425 23.373631348665723 -387.05538774
6.0425 23.383631348665723 -387.05544349
6.0425 23.393631348665723 -387.05548580
6.0425 23.403631348665723 -387.05553984
6.0425 23.413631348665723 -387.05562794
6.0425 23.423631348665723 -387.05568879
6.0425 23.433631348665723 -387.05574232
6.0425 23.443631348665723 -387.05579607
6.0425 23.443631348665723 -387.05579607
6.0425 23.493631348665723 -387.05603774
6.0425 23.543631348665723 -387.05627922
6.0425 23.593631348665723 -387.05650740
6.0425 23.643631348665723 -387.05676146
6.0425 23.693631348665723 -387.05695909
6.0425 23.743631348665723 -387.05718859
6.0425 23.793631348665723 -387.05736929
6.0425 23.843631348665723 -387.05751041
6.0425 23.893631348665723 -387.05773200
6.0425 23.943631348665723 -387.05789754
6.0425 23.993631348665723 -387.05807413
6.0425 24.043631348665723 -387.05823303
6.0425 24.093631348665723 -387.05838967
6.0425 24.143631348665723 -387.05853206
6.0425 24.193631348665723 -387.05866753
6.0425 24.243631348665723 -387.05879275
